n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1210.3,1356.5,1619.9,1971.5,2127.7,2297.9,2447.4,2611.6,2780.7,2938.7,3086.3,3230.3,3346.8,NaN,3540.1,3689.7,3904.4,NaN,3985.4,4170.2,NaN,4364.6,4511.9,4729.9,NaN,4811.5,5003.4,5154.2,5256.8,5438.9,NaN,5631.6,5777.8,5999,NaN,6079.9,6263.2,NaN,6455.6,6601.8,6828.4,NaN,6910.8,7093.1,7249.7,7362.9,7541.1,NaN,7735.2,7887.4,8107,NaN,8186.6,8371,NaN,8568.7,8717.2,8936.5,NaN,9017.3,9220.6,9373.5,9488.8,9673.1,NaN,9866.9,10018,10237,NaN,10321,10510,NaN,10705,10853,11066,11216,11324,11526,NaN,11721,11875,12094,NaN,12177,12364,NaN,12559,12716,12943,NaN,13028,13226,NaN,13426,13597,13805,13959,14066,14259,NaN,14456,14619
1257,1396.7,1658.1,2010.7,2176.7,2347.5,2495.7,2674.2,2854.4,3007.9,3159.8,3307.5,NaN,3494,3646.2,3771.1,NaN,3949.4,4059.3,NaN,4316.4,4467.4,4598.3,NaN,4774.1,4884.4,5080.7,5223.5,5332.6,NaN,5582.9,5734.5,5861.3,NaN,6050,6155.1,NaN,6411.1,6560.9,6685.7,NaN,6875.7,6981.9,7173.8,7320.4,7430.4,NaN,7686.9,7844.7,7974.2,NaN,8158.8,8260.6,NaN,8522,8671.4,8803.3,NaN,8988.8,9093.2,9294,9450.6,9583.6,NaN,9819.4,9972.1,10104,NaN,10290,10394,NaN,10658,10811,10935,11148,11288,11425,NaN,11670,11830,11961,NaN,12143,12253,NaN,12514,12661,12801,NaN,12995,13103,NaN,13376,13530,13681,13885,14028,14138,NaN,14413,14565,14707
