l,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1828.6,1960.7,2176.5,2375.5,2518.7,2685.5,2832.8,2994.8,3150.8,3270.8,NaN,3460.3,3605.3,3824.5,NaN,3906.3,4100.3,NaN,4289.8,4444.1,4660.6,NaN,4742.4,4920.3,5075.8,5184.3,5368.6,NaN,5565.9,5714.7,5895.6,NaN,6026.7,6223.8,NaN,6418.7,6575.4,6767.7,6925.2,7029,7221,NaN,7419.2,7571.2,7794,NaN,7880.2,8086,NaN,8285.3,8449.4,8654.5,8803.2,8913,9110.8,NaN,9309.4,9466.6,9622.2,NaN,9768.9,9970.6,NaN,10167,10328,10497,NaN,10646,10864,NaN,11051,11207,11431,NaN,11519,11711,NaN,11916,12249,12395,12507,12696,NaN,12896,13050,13294,13447,13557,13762,NaN,13961,14124,14287,14548,14737,14882,15012,NaN,15212,15370,15598,NaN,15681,15889,NaN,16089,16258
1858.9,2004.3,2218.9,2408.7,2577.6,2762.1,2906.9,3072.7,3225.5,NaN,3409.5,3545.2,3689.2,NaN,3874.6,3974.2,NaN,4240,4387.3,4526.3,NaN,4712.1,4814.4,4997.3,5147.5,5273.7,NaN,5521.5,5659.9,5797.1,NaN,5985.8,6118.3,NaN,6371.1,6516,6657.5,6847.4,6991.2,7103.3,NaN,7370.2,7518.6,7655.6,NaN,7844.3,7971.2,NaN,8240.2,8380,8533.1,8733,8879.7,8987,NaN,9262.7,9415.4,9546.2,NaN,9733.1,9862.8,NaN,10121,10268,10412,NaN,10608,10743,NaN,11004,11145,11288,NaN,11486,11590,NaN,11865,11999,12316,12472,12600,NaN,12848,12995,13134,13374,13523,13642,NaN,13917,14060,14206,14402,14618,14815,14961,NaN,15168,15318,15457,NaN,15650,15761,NaN,16042,16171,16340
