n,n,f,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
2772,2873.5,3072.9,8980.1,9208.2,10541,10705,10854,10995,11134,11280,11419,11552,11672,NaN,11854,11995,12204,NaN,12286,12475,NaN,12662,12810,13033,NaN,13115,13305,NaN,13492,13651
2822.8,2960.4,3113.1,9066.9,9400.9,10586,10752,10926,11065,11211,11355,11495,11630,NaN,11809,11953,12079,NaN,12252,12356,NaN,12620,12763,12891,NaN,13081,13190,NaN,13448,13592,13737
