n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2659.7,2896.5,3030.2,3196.5,3321.7,3475.2,3619.4,3764.7,3905,4045.8,4184.3,4294.2,NaN,4477.9,4616.3,4830.5,NaN,4909.1,5093.2,NaN,5280.5,5428.3,5639.8,NaN,5720.5,5910.1,NaN,6100,6241.1,6437.2,NaN,6531.5,6720.9,NaN,6910.6,7058.4,7274.8,NaN,7355.5,7533.9,7683.8,7785.9,7973,NaN,8166.4,8316.4,8520.8,NaN,8614.4,8816.2,8965.1,9109.8,9247.4,NaN,9439.5,9583.8,9780,NaN,9882.8,10072,NaN,10262,10408,10560,NaN,10715,10904,NaN,11103,11250,11488,11628,11732,11920,NaN,12114,12265,12469,NaN,12566,12763,NaN,12954,13109,13388,13533,13642,13831,NaN,14028,14186,14406,NaN,14489,14706,14857,15004,15153,15268,NaN,15462,15614,15822,NaN,15919,16124,NaN,16322,16490
2752.8,2937.3,3085.5,3245.5,3386.5,3549.7,3695.5,3838.1,3980.8,4116.6,4260,NaN,4420.3,4575.8,4702.9,NaN,4878.3,4983.5,NaN,5234.7,5387.1,5510.4,NaN,5687.4,5796.4,NaN,6051.2,6201.3,6326.6,NaN,6498.5,6606.4,NaN,6862.9,7010.5,7144.7,NaN,7324,7429.9,7609.8,7756.9,7861.4,NaN,8118.3,8269.5,8402.8,NaN,8578.9,8689.5,8888.2,9042.3,9192.9,NaN,9395.1,9542.5,9667.8,NaN,9844.3,9954.8,NaN,10218,10364,10491,NaN,10679,10804,NaN,11053,11207,11333,11563,11706,11809,NaN,12069,12217,12349,NaN,12534,12645,NaN,12908,13062,13194,13468,13609,13718,NaN,13981,14136,14271,NaN,14461,14571,14775,14937,15081,15230,NaN,15417,15567,15701,NaN,15891,15996,NaN,16273,16428,16579
