n,n,n,n,n,n,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l
1757.9,1993.8,2178.3,2346.4,2527.6,2698.2,2863.8,3032.7,3192.9,3328.5,NaN,3510.8,3657.2,3883.5,4034.8,4142.1,4330.6,NaN,4526.3,4675.1,4889.3,NaN,4970.1,5158,NaN,5353.7,5503,5717.5,5869,5977.4,6164.3,NaN,6357.6,6508.8,6750.8,NaN,6831.9,7022.1,7177.5,7303.7,7492.9,NaN,7688.3,7836.4,7993.2,NaN,8141.2,8338.3,NaN,8536.1,8689.2,8898,9054.1,9155.9,9346.2,NaN,9542.3,9689.1,9868.3,10022,10152,10341,NaN,10539,10688,10906,NaN,10986,11193,11365,11506,11665,11775,NaN,11977
1789,2036.1,2239.6,2409.6,2586.7,2758.4,2926.1,3109.7,3272.2,NaN,3461,3610.3,3744.3,3960.6,4108.1,4218.3,NaN,4480,4628.2,4761.4,NaN,4938.9,5042.3,NaN,5304.7,5455,5588.8,5796.8,5945.2,6062,NaN,6310.5,6460.8,6594.6,NaN,6801,6904.6,7094.6,7253.7,7392.7,NaN,7640.2,7790.2,7921.8,NaN,8105.3,8231.6,NaN,8485.2,8633.7,8772.7,8980,9125.8,9232.5,NaN,9496.5,9641.1,9774.5,9947.8,10098,10251,NaN,10489,10639,10775,NaN,10957,11057,11267,11441,11585,11744,NaN,11914,12063
