n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
2130.3,2291.3,2484,2673,2860.5,3022.2,3171.5,3326.5,3468.6,3618.1,3741.1,NaN,3925.9,4069.5,4281.5,NaN,4362.5,4553.3,NaN,4749.8,4899.2,5059.3,NaN,5198.8,5386,NaN,5580.8,5728.4,5919.2,NaN,6034.5,6219.5,6377.4,6483,6671.6,NaN,6863.3,7020.1,7244.3,NaN,7328.3,7528.9,NaN,7718.2,7872.8,8087.5,8236.6,8342.6,8535.2,NaN,8725.9,8876.9,9096.3,NaN,9180.2,9377,NaN,9573,9728.1,9948.2,NaN,10033,10253,NaN,10442,10596,10828,10983,11095,11287,NaN,11491,11670
2242.6,2345.7,2538.6,2722,2910.4,3098.6,3248.4,3400.1,3544.2,3688.8,NaN,3878.3,4010.2,4149.8,NaN,4329.1,4432.2,NaN,4698.8,4833.2,4982.7,NaN,5163.3,5285.7,NaN,5532.4,5664.8,5816.6,NaN,5999.1,6126.2,6293.8,6447.3,6552.5,NaN,6817.9,6957,7101,NaN,7292.8,7414.6,NaN,7666,7807.7,7957.1,8162.3,8309.1,8411.8,NaN,8676.8,8815.9,8963.9,NaN,9145,9270.6,NaN,9523.8,9661.8,9808,NaN,9999.1,10102,NaN,10392,10539,10683,10898,11058,11187,NaN,11439,11573,11746
