n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1994.4,2315.6,2459,2604.2,2725.8,NaN,2913.7,3056.5,3266.9,NaN,3347.2,3532.5,NaN,3725.9,3872.7,4135.4,4276.2,4379.7,4560.2,NaN,4753.5,4909
2218.4,2390.1,2533.9,2677.1,NaN,2867.4,3004.8,3138.2,NaN,3314.7,3435,NaN,3680,3820.4,3955.1,4208.1,4346.8,4461.3,NaN,4705.3,4854.4,4988.6
