l,l,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e
3386.3,3748.3,3991.1,4153.7,4300.6,4445.1,4587.9,4722,4844.6,NaN,5028.2,5165.5,5372,NaN,5486.6,5627.1,NaN,5810.3,5950.2,6160.1,NaN,6237.8,6425.2,NaN,6611.4,6753.4,6971.6,NaN,7050.2,7233.4,NaN,7421,7562.6,7776.3,NaN,7856.5,8038.3,NaN,8225.8,8370.5,8583,NaN,8664.1,8848.5,NaN,9037.5,9180.3,9398.9,NaN,9477.1,9664,NaN,9849.5,9998.3,10187,10332,10440,10617,NaN,10804,10950,11140,11287,11393,11573,NaN,11766,11909,12124,NaN,12204,12384,NaN,12574,12723,12951,13093,13204,13404,NaN,13593,13740,13956,NaN,14035,14230,NaN,14424,14572,14802,14948,15058,15242,NaN,15439,15595,15829,NaN,15915,16109,NaN,16298,16445,16604,NaN,16755,16959,17111,17224,17414,NaN,17607,17760,17974,18137,18247,18451,NaN,18647,18814
3474.2,3846.3,4031.9,4206,4359.2,4514.7,4658.1,4792,NaN,4983.4,5126.6,5247.2,NaN,5420,5520.9,NaN,5767.9,5908.8,6033.1,NaN,6210.3,6311.8,NaN,6568.6,6712,6834.7,NaN,7019.1,7124.3,NaN,7378.1,7522.1,7644,NaN,7822.4,7932.2,NaN,8177.2,8329.4,8450,NaN,8632,8737.2,NaN,8995.2,9139.8,9262.3,NaN,9444.7,9554.6,NaN,9806.4,9956.4,10082,10261,10403,10523,NaN,10763,10907,11031,11216,11358,11470,NaN,11714,11866,11991,NaN,12174,12273,NaN,12526,12677,12808,13024,13167,13282,NaN,13546,13697,13825,NaN,14006,14111,NaN,14380,14525,14659,14884,15018,15131,NaN,15393,15544,15676,NaN,15881,15993,NaN,16252,16395,16528,NaN,16719,16848,17034,17182,17313,NaN,17557,17704,17842,18034,18212,18340,NaN,18599,18753,18896
