n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e
2767.8,2910.1,3058.4,3201.5,3338.2,3445.8,NaN,3625.9,3765,3974.3,NaN,4053.7,4235.1,NaN,4424.5,4572.5,4784,NaN,4868.5,5036.9,5185.5,5288.1,5467.9,NaN,5657.6,5809.4,6024.5,NaN,6106.5,6291.3,NaN,6484.5,6638.2,6899.1,7035.1,7140.6,7320.3,NaN,7511.2,7664.3,7880.2,NaN,7963.6,8157.5,NaN,8349,8502.3,8699.6,8853.4,8963.1,9165.8,NaN,9362.1,9521.4,9689,NaN,9840.3,10061,10211,10361,10503,NaN,10696,10856,11081,NaN,11167,11404,11555,11687,11869,NaN,12064,12226,12457,NaN,12539,12738,NaN,12937,13100
2811.9,2971.4,3134.9,3276.1,3410.5,NaN,3572.8,3722.1,3850.2,NaN,4023.3,4129.9,NaN,4382.7,4529,4655.8,NaN,4835.6,4945.7,5112.4,5259.2,5364.7,NaN,5615.8,5758.2,5894.9,NaN,6075.3,6186.3,NaN,6438,6587.9,6723.4,6950.7,7108.2,7218.9,NaN,7465.9,7610.3,7745,NaN,7931.7,8041.4,NaN,8301.3,8450.9,8582.9,8779.4,8929.8,9047.1,NaN,9316.3,9467.1,9604.2,NaN,9803.6,9930.9,10134,10291,10437,NaN,10654,10798,10939,NaN,11133,11247,11470,11631,11778,NaN,12022,12166,12307,NaN,12508,12619,NaN,12889,13035,13182
