l,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1992.7,2138.3,2364.4,2535.4,2867.1,3029.1,3184.8,3337.3,3500.8,3633.9,NaN,3822.4,3976.7,4131.4,NaN,4278,4468.5,NaN,4663.7,4810.7,5013.1,5165.1,5274,5461.5,NaN,5659.6,5811.7,6031.2,NaN,6112.2,6305.5,6459.8,6565.9,6755.2,NaN,6951.6,7101.3,7288.8,7445.1,7555.9,7746.9,NaN,7944.4,8096.5,8252.8,NaN,8408.7,8603.3,NaN,8801.5,8953.4,9185.1,9331.5,9441.8,9632.5,NaN,9832.7,9978.2,10141,NaN,10293,10478,10644,10762,10945,NaN,11144,11291,11524,NaN,11604,11810,NaN,12007,12166
2025.5,2171.2,2412.4,2575.4,2920.5,3097.5,3256,3414.4,3575.4,NaN,3772.3,3923.6,4059.1,NaN,4242.4,4380.2,NaN,4619,4762.8,4894.9,5094.8,5237.2,5363.5,NaN,5609.3,5757.7,5898.5,NaN,6077.1,6186.4,6385.1,6526.4,6640.8,NaN,6902.9,7054.6,7186.3,7365,7517.3,7626.8,NaN,7898.8,8050.8,8179.6,NaN,8370.5,8506.6,NaN,8755.8,8903.9,9042.4,9256.3,9405.3,9538.5,NaN,9784.9,9935.4,10065,NaN,10256,10387,10556,10719,10859,NaN,11094,11250,11379,NaN,11576,11679,NaN,11960,12112,12254
