n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
3549.5,3696.6,3840.3,3982.2,4106.6,NaN,4284.8,4424.6,4634.7,NaN,4713.3,4902.6,NaN,5102.5,5250,5462.4,NaN,5541.9,5734.4,5878.5,6004.5,6181.2,NaN,6371.4,6517.5,6732.9,NaN,6813.9,7000.6,NaN,7189.4,7332.4,7545.2,NaN,7622.8,7815.7,NaN,8007.9,8155,8374.3,NaN,8456.8,8643.2,8795.3,8900.7,9076.4,NaN,9266.4,9419.7,9607.8,9753.9,9856.4,10047,NaN,10235,10380,10588,NaN,10685,10868,NaN,11062,11211,11412,NaN,11507,11694,NaN,11886,12036,12253,12397,12499,12690,NaN,12885,13029,13291,13434,13539,13726,NaN,13920,14073,14385,14523,14627,14812,NaN,15006,15153,15381,NaN,15465,15656,NaN,15851,15998,16223,NaN,16304,16493,NaN,16687,16858,17090,17252,17351,17533,NaN,17731,17872,18097,NaN,18175,18366,NaN,18566,18722,18882,19048,19168,19367,NaN,19564,19720
3592.4,3758.8,3916.1,4055.9,NaN,4239.9,4386.8,4509.6,NaN,4684.2,4791,NaN,5053.1,5208.9,5337.7,NaN,5514.1,5623.7,5806.1,5956.5,6103.5,NaN,6329.1,6478.6,6597.7,NaN,6786.2,6893.8,NaN,7145.8,7293.1,7417.1,NaN,7594.4,7699.6,NaN,7962,8114.6,8239.9,NaN,8424.9,8530,8725.2,8864.1,8976.2,NaN,9219.1,9369.9,9511.4,9686.4,9822.5,9937.2,NaN,10190,10340,10466,NaN,10652,10761,NaN,11016,11171,11294,NaN,11478,11584,NaN,11842,11991,12119,12330,12470,12581,NaN,12839,12990,13113,13363,13505,13620,NaN,13875,14026,14158,14460,14594,14703,NaN,14961,15107,15239,NaN,15433,15538,NaN,15803,15955,16081,NaN,16273,16384,NaN,16641,16792,16943,17166,17320,17428,NaN,17684,17832,17969,NaN,18147,18252,NaN,18516,18665,18805,18958,19124,19263,NaN,19515,19669,19806
