n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
1981.4,2120.2,2407.5,2583.9,2737.4,2883.6,3020.6,3169.3,3278.4,NaN,3469.2,3612.4,3824.2,NaN,3902.1,4083.3,NaN,4276.6,4426.3,4661.6,NaN,4743.2,4943.7,NaN,5138.8,5293.4,5800.1,5944.2,6082.9,6192.2,6366,NaN,6561.7,6715.6,6937.6,NaN,7014.8,7203.5,NaN,7400.9,7551.6,7763,NaN,7860.9,8039.7,8187.7,8303.3,8493.6,NaN,8692.5,8849,9451.8,9591.9,9741.2,9878.6,9987.8,NaN,10188,10335,10550,NaN,10632,10826,NaN,11027,11199,11354,NaN,11505,11733,11883,12036,12196,NaN,12392,12554,12754,NaN,12852,13048,NaN,13247,13428,13631,NaN,13728,13933,NaN,14132,14296
2061.9,2172.1,2454.9,2638,2801.5,2957.6,3097.7,3242.5,NaN,3416.8,3561.3,3697,NaN,3872.5,3974.1,NaN,4229.7,4369.6,4509.2,NaN,4712.3,4828.5,NaN,5088.8,5241.7,5377.9,5866.2,6021.8,6154.6,6267.9,NaN,6515.4,6667.1,6799.3,NaN,6987.7,7087.5,NaN,7354.5,7502.3,7635.3,NaN,7826.7,7932.2,8111.3,8259.8,8390.3,NaN,8643.6,8793.9,8932.2,9516.6,9667,9812.1,9951.8,NaN,10139,10283,10420,NaN,10602,10709,NaN,10978,11130,11282,NaN,11467,11595,11800,11958,12111,NaN,12345,12494,12639,NaN,12818,12926,NaN,13196,13343,13505,NaN,13695,13802,NaN,14079,14223,14378
