n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
2638.8,2786.2,2939.8,3087.5,3234.8,3377,3523.4,3626.4,NaN,3810.9,3951.4,4165.9,NaN,4245.6,4423.8,NaN,4617.1,4765.9,4979.3,NaN,5058.6,5238.3,NaN,5433.3,5582.8,5809.5,NaN,5895.9,6104,NaN,6291.2,6447.4,6653.9,6794.6,6897.6,7086.5,NaN,7284.8,7452.2
2673.1,2843.8,2992.9,3148.5,3306.9,3453,3588.1,NaN,3755.7,3904.4,4038.3,NaN,4215.8,4315.9,NaN,4567.7,4711.5,4850.1,NaN,5029.7,5130.1,NaN,5387.2,5528.5,5665.4,NaN,5860.7,5965.8,NaN,6240.9,6378,6527.2,6724.9,6866.3,6970.3,NaN,7237.5,7386.2,7533.3
