n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
2191.8,2346.4,2497.3,2639.3,2785.4,2930.1,3065.2,NaN,3249.8,3392,3599,NaN,3682,3871.7,NaN,4063.8,4209.5,4385.9,4534.9,4636.3,4816.1,NaN,5007.4,5150.6,5362.3,NaN,5445.2,5629.2,NaN,5820.4,5968.8,6180.7,NaN,6261.7,6471.6,6619.2,6727.2,6921.6,NaN,7114.2,7263,7480.2,NaN,7558.5,7751.3,NaN,7946.1,8096.6,8313.6,8460.1,8569.7,8756.7,NaN,8948.2,9097.7,9315,NaN,9398.7,9583.7,9733.1,9837.1,10017,NaN,10211,10368,10587,NaN,10667,10864,NaN,11064,11221,11450,11601,11707,11908,NaN,12103,12254,12409,NaN,12556,12757,NaN,12955,13118,13359,NaN,13440,13642,NaN,13838,13993,14216,NaN,14299,14501,NaN,14697,14862
2246.1,2396.2,2553.8,2703.9,2861.2,3004.5,NaN,3204.4,3338.2,3471.1,NaN,3647.8,3752.6,NaN,4017.9,4149.9,4290.9,4462.6,4602.8,4707.9,NaN,4958.6,5101.5,5230.8,NaN,5411.3,5514.7,NaN,5774.2,5909.8,6054.2,NaN,6229.1,6332.7,6547.1,6690.3,6797.9,NaN,7068,7206.8,7345,NaN,7525.5,7629.8,NaN,7897.8,8037.3,8179.8,8384.6,8533.6,8650.8,NaN,8902.3,9049.6,9181.2,NaN,9365.5,9477.2,9659.1,9803,9907.6,NaN,10166,10314,10454,NaN,10639,10751,NaN,11016,11167,11304,11529,11668,11793,NaN,12057,12204,12339,NaN,12521,12647,NaN,12908,13043,13200,NaN,13409,13518,NaN,13790,13942,14078,NaN,14269,14378,NaN,14654,14802,14948
