n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n
1985.1,2148.8,2287.1,2432.5,2580.2,2701.7,NaN,2885.8,3027.4,3239.4,NaN,3317.1,3511.1,NaN,3700.1,3846.3,4063.1,NaN,4146.4,4322.3,4470.6,4577.7,4763.5,NaN,4961.9,5113.9,5335.6,NaN,5414.3,5618.1,NaN,5818,5964.2,6192.2,NaN,6271.6,6465.6,NaN,6660.8,6810.6,7012.6,7172.1,7277.6,7471.4,NaN,7670.7,7833,8048.8,NaN,8134,8396.7,8563.4,8707.9,8857.8,8970.7,NaN,9157.8,9307.8,9496.7,NaN,9628.8,9846,NaN,10043,10202,10433,NaN,10522,10746,10906,11050,11205,11337,NaN,11534,11688,11908,NaN,11990,12196,NaN,12397,12564,12793,NaN,12891,13123
2030.3,2201.2,2349.2,2509,2655.6,NaN,2836.6,2982.3,3111.8,NaN,3287.1,3384.6,NaN,3650.9,3792.1,3929,NaN,4115.8,4219.5,4396.3,4544.5,4648.7,NaN,4910.3,5051.4,5195.1,NaN,5384.3,5484.3,NaN,5768.6,5905.8,6048.5,NaN,6241.8,6340.1,NaN,6613.8,6753.9,6892.7,7085.5,7241.7,7370.3,NaN,7621.3,7765.9,7913.7,NaN,8099.3,8207.9,8451.6,8641.4,8782.3,8931.9,NaN,9112.1,9241.9,9389.7,NaN,9577.8,9721.2,NaN,9992.7,10136,10284,NaN,10482,10610,10807,10979,11126,11278,NaN,11487,11624,11772,NaN,11958,12061,NaN,12346,12492,12645,NaN,12844,12977,13170
