n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,n,n,a,b,l,n,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,n,n,n,n,f,a,b,l,e,d,g
1970.8,2128.8,2283.2,2449.2,2598.4,2748.1,2902.1,3013.4,NaN,3206.5,3355.5,3578.7,NaN,3658.1,3855.8,NaN,4052.4,4206.1,4428.1,NaN,4507.1,4725.8,NaN,4924.3,5072.5,5301.6,NaN,5387.7,5587.6,NaN,5784.5,5940.4,6161.8,NaN,6245.7,6459.2,NaN,6658.2,6823.1,7029.4,7185.6,7303.2,7501.2,NaN,7699.4,7856.9,8084.6,NaN,8168.1,8430.7,8591.6,8741.4,8894,9058,9181.2,NaN,9378.4,9536.3,9766.3,NaN,9850.3,10061,NaN,10262,10418,10604,NaN,10761,10992,11158,11322,11487,11627,11778,11893,NaN,12094,12448,12599,12779,12930,13053,13246,NaN,13448,13604,13835,NaN,13921,14138,NaN,14342,14499,14672,14979,15132,15296,15456,15634,15858,16012,16122,16328,NaN,16528,16687,16864,NaN
2026.8,2194.8,2358.6,2517.7,2673.5,2823.8,2976,NaN,3160.4,3304.1,3440.6,NaN,3626.6,3736,NaN,4002.2,4150.4,4292.2,NaN,4477.8,4586.7,NaN,4875.8,5020.7,5158.6,NaN,5352.3,5468,NaN,5732.8,5888.6,6025.6,NaN,6212.5,6324.8,NaN,6610,6759,6905.8,7106.7,7262.3,7392.8,NaN,7651.5,7808.1,7944.6,NaN,8134,8246.3,8499.6,8665.6,8821.3,8973.7,9135.4,NaN,9326.9,9483.2,9622.9,NaN,9816.8,9929,NaN,10207,10368,10505,NaN,10732,10838,11061,11235,11406,11569,11734,11856,NaN,12046,12177,12516,12677,12857,13009,13154,NaN,13390,13550,13692,NaN,13886,14000,NaN,14294,14442,14586,14793,15049,15211,15378,15539,15705,15902,16088,16198,NaN,16481,16631,16777,NaN,16987
