n,n,n,n,n,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e,d,g,f,n
3499.3,3649.6,3793.8,3938.1,4077.2,4210.8,NaN,4389,4531.9,4737.4,NaN,4816.2,4989.8,5281.3,5408.8,NaN,5595.7,5740.2,5953.2,NaN,6031.4,6218.4,NaN,6404.9,6548.4,6764.6,NaN,6842.8,7033.9,NaN,7222.9,7371.3,7587.7,NaN,7665.7,7881.6,8036.1,8185.6,8329.1,8472.5,8585.8,NaN,8767.8,8918,9070.8,NaN,9220.4,9405,NaN,9601.2,9758.4,9972.2,10119,10223,10415,NaN,10608,10762,10984,NaN,11067,11255,NaN,11456,11603,11798,11946,12049,12236,NaN,12428,12581,12808,NaN,12889,13091,NaN,13282,13441,13665,13807,13911,14122,14275,14423,14560,NaN,14753,14912,15134,NaN,15218,15457
3532.2,3692.9,3857.3,4008.4,4145.2,NaN,4342,4484.6,4610.4,NaN,4781.9,4885.3,5154.5,5355.9,NaN,5553.4,5696.2,5827,NaN,6001.1,6103.5,NaN,6361.6,6505.9,6631.8,NaN,6816.1,6918.6,NaN,7176.6,7326.8,7457.3,NaN,7633.5,7740.2,7947.4,8106.4,8254.8,8399.6,8547.4,NaN,8714.2,8871,8998.3,NaN,9182.2,9312.4,NaN,9557,9705.1,9844.5,10053,10194,10300,NaN,10565,10713,10847,NaN,11033,11147,NaN,11402,11556,11687,11875,12018,12129,NaN,12382,12527,12663,NaN,12857,12962,NaN,13235,13387,13525,13739,13881,13988,14194,14353,14507,NaN,14709,14857,14997,NaN,15186,15301,15508
