n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1985.9,2089.8,2677.5,2820.4,2966.6,3103.5,3214.2,NaN,3401.7,3541.1,3749.4,NaN,3829.2,4011,NaN,4205,4352.7,4565.6,NaN,4649.2,4834.2,NaN,5022.7,5168.2,5389.2,NaN,5471.9,5665.1,5810.8,5918.6,6099.5,NaN,6292.7,6441,6659.9,NaN,6744.4,6934.4,NaN,7128.3,7275.6,7477.9,NaN,7578.6,7764.8,NaN,7956.9,8112.1,8295.8,8447.3,8547.8,8730.9,NaN,8930.3,9083.4,9230.9,NaN,9385.8,9577.4,NaN,9768.1,9914.2,10076,NaN,10233,10444,10599,10713,10898,NaN,11095,11246,11792,11933,12048,12246,NaN,12439,12584,12799,NaN,12880,13077,NaN,13273,13432
2018.4,2177.5,2734.2,2892.4,3042.3,3177.1,NaN,3357.7,3503.7,3623.6,NaN,3799.1,3905.7,NaN,4159.8,4309.3,4436.2,NaN,4620.1,4729.2,NaN,4977.3,5123.8,5253.8,NaN,5439.4,5554.2,5744.3,5884.8,5993,NaN,6248,6397.6,6526.8,NaN,6710.3,6824.2,NaN,7082.5,7225.9,7361.3,NaN,7548.3,7653.2,NaN,7912.9,8055.1,8194.6,8376.8,8521.5,8636.4,NaN,8883.9,9023,9164.7,NaN,9348.7,9484.2,NaN,9724.2,9875.6,10005,NaN,10191,10330,10519,10677,10796,NaN,11050,11197,11330,11856,12005,12147,NaN,12398,12543,12670,NaN,12847,12959,NaN,13227,13376,13519
