n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l
3377.9,3516.5,3655.8,3814.3,3938.7,4091.3,4238.6,4350.5,NaN,4539.8,4688.9,4903.2,NaN,4983.9,5172.2,NaN,5364.5,5510.1,5709.2,NaN,5802.6,6001.5,6152,6262.7,6444.2,NaN,6592.6,6926.3,7063.3,7211.4,7320.3,NaN,7511.7,7661.2,7818.4,NaN,7962.6,8150.4,NaN,8345.1,8494,8675.5,8821.8,8924.8,9114.6,NaN,9310.4,9460.2,9667.4,NaN,9762.2,9956,10122,10236,10429,NaN,10626,10779,10978,NaN,11075,11265,NaN,11458,11610,11763,NaN,11910,12116,12299,12442,12575,NaN,12768,12919,13326,13469,13580,13767,NaN,13965
3408.4,3565,3714.4,3875.6,4005.5,4171.8,4314.2,NaN,4492.3,4647.8,4772,NaN,4951.2,5057.9,NaN,5319,5469.4,5595.9,NaN,5771.1,5882.8,6077.2,6227.2,6340.5,NaN,6586.9,6687.1,6988.8,7138,7282.9,NaN,7466.1,7612.2,7748.9,NaN,7926.4,8050,NaN,8302.1,8444.8,8575.7,8754.2,8891.3,9000.1,NaN,9264.1,9408.9,9544.7,NaN,9729.7,9840.3,10035,10198,10327,NaN,10578,10730,10863,NaN,11042,11155,NaN,11408,11562,11693,NaN,11873,12002,12187,12377,12519,NaN,12722,12872,13003,13396,13544,13675,NaN,13914,14052
