n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1847.9,1986.5,2153,2363.6,2516.7,2671.4,2819.6,2973.1,3118.4,3261.3,3383.6,NaN,3568.5,3711.4,3921.7,NaN,4005.2,4189.9,NaN,4382.4,4527.8,4738.6,NaN,4821.1,5006.9,5161.6,5265.1,5447.8,NaN,5641.5,5789,5983.4,6135.2,6243.6,6422.7,NaN,6616.8,6758.6,6967.7,NaN,7059.9,7243.8,NaN,7439,7585.9,7801.1,NaN,7884.7,8089.1,NaN,8285.7,8444.2,8653.1,8812.4,8912.7,9108.4,NaN,9301.9,9452.5,9604.2,NaN,9763.3,9963.1,NaN,10157,10320
1881.3,2029.5,2187.3,2424.4,2576.7,2733.8,2899.3,3045.4,3195.9,3338.2,NaN,3520.9,3671.4,3794.3,NaN,3972.8,4078.8,NaN,4333,4481.7,4613.4,NaN,4792.5,4901,5085.1,5236.9,5341,NaN,5598.2,5746.9,5873.8,6057.3,6210.8,6320.1,NaN,6569.1,6715.4,6844.1,NaN,7031.9,7145.7,NaN,7390.8,7540.1,7670.2,NaN,7854.2,7961.2,NaN,8239.7,8390.9,8528,8729.5,8885.3,8991.2,NaN,9256,9406.7,9544.3,NaN,9727.7,9853.8,NaN,10115,10245,10405
