n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1822.3,1988.1,2147,2347.3,2526.3,2689.7,2959.1,3096.8,3249.3,3399.3,3512.2,NaN,3705.8,3854.2,4063.9,NaN,4145.4,4342.3,NaN,4538.4,4690.2,4929.6,NaN,5013.4,5207,NaN,5405.5,5562.3,5779.9,NaN,5873.3,6067.1,6219,6323.2,6535.9,NaN,6723.5,6879.4,7078.4,7239.1,7348.1,7568.3,NaN,7759.4,7918.1,8139.9,NaN,8223.7,8434.6,NaN,8624.2,8777.6,9003.4,NaN,9087.8,9287.9,NaN,9497.1,9643.5,9863.4,NaN,9947.3,10152,NaN,10353,10509,10970,11119,11253,11436,NaN,11638,11798,12021,NaN,12105,12309,NaN,12511,12672
1858,2032.3,2201.4,2395.2,2575.6,2738.5,3006.1,3171,3323.9,3474,NaN,3658.4,3793.7,3933.1,NaN,4114.2,4210.2,NaN,4489.3,4627.8,4774.9,NaN,4978.1,5103,NaN,5356.2,5498.4,5641.5,NaN,5830.6,5957.5,6140.7,6288,6391.1,NaN,6673.1,6808.6,6961.5,7154.7,7309.6,7437.4,NaN,7704.4,7848.2,8000.2,NaN,8187.8,8293.2,NaN,8576.2,8720.4,8859.7,NaN,9053.2,9158.8,NaN,9433.2,9591.1,9728.1,NaN,9913.8,10017,NaN,10306,10450,10591,11030,11192,11342,NaN,11589,11725,11877,NaN,12072,12174,NaN,12464,12608,12757
