n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1994.2,2512.9,2681.3,2820.5,2965.2,3106.2,3247.4,3355.7,NaN,3536,3677.6,3880.8,NaN,3959.2,4144,NaN,4331.6,4475.2,4668.6,NaN,4762.1,4946.4,NaN,5137.1,5280.8,5493.2,NaN,5571.2,5757.5,NaN,5946.1,6094,6295.5,NaN,6385.3,6572.7,NaN,6764.7,6914.1,7091.9,7234.2,7340.9,7524.8,NaN,7715.9,7869.5,8084.3,NaN,8167.5,8356,NaN,8545.5,8689.4,8923,9070.5,9174.3,9358.1,NaN,9552.7,9693.2,9908,NaN,9992.2,10178,NaN,10373,10522,10831,10973,11085,11262,NaN,11458,11604,11825,NaN,11909,12115,12283,12428,12533,NaN,12723,12878,13091,NaN,13188,13397,13552,13684,13863,NaN,14057,14208,14412,NaN,14505,14710,NaN,14905,15061,15273,15432,15543,15740,NaN,15952,16102,16255,NaN,16400,16608,NaN,16805,16963,17146,17299,17410,17604,NaN,17802,17947,18176,18325,18431,18638,NaN,18854,19011,19233,NaN,19314,19535,19701,19853,20009,20119,NaN,20316,20485,20718,NaN,20800,21014,NaN,21217,21377
2041.2,2556.9,2735.9,2890.5,3033.8,3175.5,3315.3,NaN,3476.1,3627.7,3754.8,NaN,3927.5,4027,NaN,4286.8,4428.4,4560.9,NaN,4731.8,4828.7,NaN,5089.9,5229.6,5361.8,NaN,5540.1,5641,NaN,5897.6,6041.6,6175.5,NaN,6355.1,6455.4,NaN,6715,6858.6,6992.7,7163.7,7304.2,7412.2,NaN,7667.8,7811.9,7952.3,NaN,8134.1,8237.7,NaN,8499.3,8637.2,8768.6,8995.2,9139,9266.8,NaN,9503.9,9642.7,9777.5,NaN,9958.1,10075,NaN,10326,10471,10608,10909,11044,11171,NaN,11411,11560,11689,NaN,11874,11985,12188,12364,12500,NaN,12669,12830,12959,NaN,13154,13266,13470,13627,13775,NaN,14010,14161,14294,NaN,14475,14579,NaN,14856,15008,15145,15354,15507,15621,NaN,15887,16058,16186,NaN,16365,16489,NaN,16757,16888,17047,17220,17373,17498,NaN,17754,17894,18032,18253,18398,18506,NaN,18787,18951,19095,NaN,19285,19393,19603,19778,19928,20080,NaN,20269,20408,20567,NaN,20768,20876,NaN,21168,21323,21460
