n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1983.4,2119.6,2305.6,2470.1,2624.2,2771.2,2907.2,3062.1,3163.5,NaN,3355.7,3503.1,3716.6,NaN,3798.1,3984.1,NaN,4176.7,4323,4540.9,NaN,4623.6,4815.7,NaN,5012.8,5166.4,5324.1,5481.8,5591.7,5776.2,NaN,5970,6135.2
2028,2163.8,2362.8,2541.2,2695.2,2843.8,2981.1,3128.1,NaN,3300.8,3451.8,3583.4,NaN,3763.3,3866.4,NaN,4130,4272.2,4408.9,NaN,4591.1,4699.4,NaN,4962.5,5113.3,5251,5407.6,5556,5685.2,NaN,5922.5,6069.5,6225.2
