n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
1981.8,2158.4,2695.7,2832.7,2978.4,3126.5,3261.6,3410.5,3555.6,3698.7,3814.5,NaN,3993.2,4134.6,4343.3,NaN,4460.5,4605.5,NaN,4790.8,4936.5,5128.9,NaN,5228,5410.2,5558.9,5663.1,5844,NaN,6032,6177.8,6368.6,NaN,6469.9,6651.3,NaN,6840.2,6988.2,7187.8,NaN,7286.1,7467.2,7616.6,7721.8,7902.2,NaN,8096.3,8239.4,8456.3,NaN,8540.1,8726,NaN,8913.4,9060.3,9256.8,NaN,9360.7,9557.1,NaN,9745.2,9888.8,10106,NaN,10192,10385,NaN,10579,10723,10957,11100,11207,11395,NaN,11587,11741,11946,NaN,12045,12263,12415,12533,12720,NaN,12917,13069,13267,NaN,13377,13586,NaN,13782,13934,14093,NaN,14255,14465,NaN,14663,14817
2020.5,2194.5,2741.7,2888.1,3041.4,3185.6,3326.3,3486,3632.9,3777.6,NaN,3937.8,4094.7,4217.1,NaN,4392.6,4500.3,NaN,4748.3,4896.5,5017,NaN,5195.8,5306.4,5488.9,5634.2,5736.1,NaN,5990.1,6134.6,6262.9,NaN,6441.9,6545.5,NaN,6796.7,6946.4,7076.8,NaN,7254.3,7363.1,7546.3,7692.7,7803.7,NaN,8051.5,8200,8324.1,NaN,8508.5,8619.8,NaN,8871.9,9018.1,9147,NaN,9329.2,9440.4,NaN,9701,9851.1,9974.1,NaN,10159,10276,NaN,10535,10684,10808,11030,11176,11292,NaN,11544,11696,11829,NaN,12012,12131,12335,12490,12640,NaN,12868,13020,13159,NaN,13341,13462,NaN,13738,13885,14021,NaN,14211,14359,NaN,14616,14766,14902
