n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1985.2,2131.5,2301.3,2596.2,2747.9,2944.3,3095.5,3239.5,3385.1,3496.9,NaN,3680.4,3825.5,4040.1,NaN,4117.9,4302.8,NaN,4492.5,4637.2,4853.8,NaN,4931.8,5131.1,NaN,5314.6,5467.3,5683.6,NaN,5761.9,5958.2,NaN,6151.7,6299.5,6483,6634.2,6740.9,6921.7,NaN,7114.5,7263,7481,NaN,7564.2,7777.6,7927.1,8070.6,8225.4,8341.6,NaN,8525.8,8674.5,8870.2,NaN,8976.5,9168.6,9316.1,9423.4,9612.7,NaN,9808.5,9956.3,10208,10353,10462,10657,NaN,10848,11002,11208,NaN,11308,11500,NaN,11694,11840,12053,NaN,12151,12380,12530,12644,12837,NaN,13032,13182,13413,13565,14058,14203,14348,14468,NaN,14661,14811,15019,NaN,15119,15307,NaN,15502,15663,15897,16052,16169,16387,16551,16672,16872,NaN,17067,17225,17467,NaN,17552,17746,NaN,17944,18099
2032.1,2183.7,2343.8,2644.8,2808.5,3012.2,3169.4,3311.3,3462.9,NaN,3623.4,3784.9,3908.2,NaN,4089.4,4190.2,NaN,4445.7,4592.1,4723.3,NaN,4905.5,5005.4,NaN,5269.6,5421.3,5548.9,NaN,5735.9,5836.2,NaN,6106.9,6253.7,6382,6565.2,6707.8,6814.6,NaN,7067.3,7216.8,7347.2,NaN,7531.8,7636.7,7847.4,8004.2,8151.7,8302.8,NaN,8468.6,8629.4,8759.8,NaN,8945.1,9049.2,9246.5,9394.2,9500.7,NaN,9760.6,9912.7,10041,10285,10424,10560,NaN,10802,10954,11086,NaN,11274,11387,NaN,11651,11793,11926,NaN,12122,12232,12447,12605,12737,NaN,12986,13137,13268,13488,13637,14121,14276,14430,NaN,14618,14768,14894,NaN,15089,15199,NaN,15457,15607,15747,15972,16124,16271,16457,16628,16761,NaN,17021,17175,17309,NaN,17516,17631,NaN,17896,18051,18186
