n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,l,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e
1984.6,2139.9,2272.5,2418.9,2565.2,2709.8,2825.4,NaN,3009,3153.4,3364.5,NaN,3443.5,3624.2,NaN,3819.7,3968.5,4178.1,NaN,4258.6,4442.2,NaN,4638.3,4793.4,4961.8,5117.9,5221.8,5375.9,5726.8,5869.6,5994,6173.5,NaN,6364.7,6515.9,6731.3,NaN,6813.6,7003.2,7152.1,7255.4,7452.8,NaN,7649.6,7804.7,8021.4,NaN,8103.7,8299.9,NaN,8495.8,8655.6,8880.4,NaN,8966.4,9166.6,NaN,9364.4,9520.9,9768.4,9917.3,10032,10219,NaN,10415,10564,10730,NaN,10884,11105,11274,11430,11579,11691,NaN,11888,12052
2024.6,2188.2,2338.5,2495.2,2636.1,2785,NaN,2955.9,3099.2,3236.1,NaN,3411.7,3511.4,NaN,3770.8,3914.4,4048,NaN,4227.5,4330.1,NaN,4590.3,4730.8,4870.5,5041.1,5189.9,5298.6,5470.3,5793.2,5945.8,6081.6,NaN,6315.2,6468.2,6599.4,NaN,6782.9,6893.1,7083,7226,7333.2,NaN,7601.2,7754.2,7888.7,NaN,8073.1,8181.6,NaN,8450.3,8602.2,8737.9,NaN,8931.5,9047.8,NaN,9317.3,9469.8,9600.5,9844,9992.9,10112,NaN,10368,10523,10647,NaN,10845,10968,11170,11354,11507,11654,NaN,11845,11997,12137
