n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e
5049.5,5320.4,5465.8,5606.4,5724,NaN,5908.8,6047.9,6255.3,NaN,6334,6510.8,NaN,6695.4,6838.1,7003,7148,7253.2,7426.3,NaN,7614,7759.2,7952.4,NaN,8047.1,8234.5,NaN,8423.4,8569.1,8765.5,NaN,8856.5,9035.5,NaN,9223.6,9369,9549,9697.6,9803.8,9981,NaN,10172,10314,10501,10648,10759,10938,NaN,11131,11278,11481,NaN,11574,11759,NaN,11951,12106,12343,12492,12602,12784,NaN,12972,13121,13337,13489,13597,13788,NaN,13975,14128,14386,14533,14645,14844,15001,15140,15248,NaN,15435,15590,15797,NaN,15892,16098,NaN,16285,16441,16569,NaN,16745,16938,17090,17200,17388,NaN,17584,17734,17960,NaN,18043,18279,18422,18554,18674,NaN,18872,19037
5238.5,5394.8,5536.4,5681.5,NaN,5866.6,6011.8,6130.7,NaN,6303.7,6406.5,NaN,6652.4,6795.5,6925.5,7076.6,7223.8,7326.7,NaN,7571.4,7720.2,7844,NaN,8018.8,8116.7,NaN,8379.4,8525.1,8653.2,NaN,8829.2,8928.8,NaN,9176.6,9325.9,9458.3,9626.8,9770.7,9870.9,NaN,10125,10277,10398,10576,10723,10857,NaN,11085,11238,11361,NaN,11543,11654,NaN,11906,12061,12191,12421,12567,12682,NaN,12927,13077,13204,13417,13563,13677,NaN,13932,14084,14212,14464,14610,14720,14920,15082,15215,NaN,15379,15545,15681,NaN,15861,15970,NaN,16237,16379,16526,NaN,16723,16847,17016,17165,17272,NaN,17538,17686,17819,NaN,18009,18115,18339,18498,18633,NaN,18827,18977,19121
