n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l
1983.3,2709.8,2894.8,3075.4,3373.6,3570.5,3750.3,3914.8,4080.7,4235.7,4393.5,4554,4674,NaN,4864.7,5010.9,5232.6,NaN,5314.9,5511.2,NaN,5710.2,5867.8,6086.2,NaN,6170.7,6372.5,NaN,6568.4,6718.5,6924.6,7078.2,7194.8,7389.8,NaN,7586.3,7735.2,7892.1,NaN,8041.6,8256.3,NaN,8449.3,8612,8841.6,NaN,8926.3,9133.1,NaN,9331.4
2025.4,2756,2939.1,3122.9,3425,3621.5,3817.8,3984,4153.1,4310,4466.8,4631.3,NaN,4817.9,4967.6,5101.2,NaN,5280.5,5391,NaN,5663.3,5814.1,5957.8,NaN,6135.9,6246.1,NaN,6521.6,6671.1,6807.1,7005.6,7153.7,7297.9,NaN,7541,7690.7,7823.8,NaN,8005.1,8138.5,NaN,8401.3,8559.3,8697.7,NaN,8891.7,9004,NaN,9282.8,9432.7
