n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,l,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1976.5,2197.2,2358,2529.9,2776.9,3084.5,3242.7,3398.6,3559.9,3712.8,3869.2,3981.6,NaN,4170,4318.1,4534.2,NaN,4616.8,4808.6,NaN,5009.4,5160.9,5381.9,NaN,5464.9,5675.2,5813.3,5960.6,6065.4,6255.5,NaN,6452.3,6594.2,6819.2,NaN,6903.2,7100.5,NaN,7298.5,7448.8,7652.8,NaN,7755,7950.4,NaN,8149.4,8305.4,8520.9,NaN,8608,8796.3,8952.4,9064.5,9254.4,NaN,9450.7,9607.7,9855.6,10002,10110,10295,NaN,10491,10639,10861,11015,11124,11316,NaN,11518,11669,11890,NaN,11971,12204,12368,12509,12660,NaN,12860,13015,13235,NaN,13316,13515,NaN,13715,13859
2008.1,2246.6,2408.2,2576.7,2822.5,3138,3318.9,3470.3,3635.4,3788,3940.5,NaN,4115.2,4266.4,4401.7,NaN,4582.7,4684.9,NaN,4959.2,5107.8,5245.6,NaN,5432,5539.2,5709.2,5886.8,6033.8,6134.9,NaN,6402.2,6537.8,6678.8,NaN,6869.5,6971.2,NaN,7249.8,7392.8,7531.8,NaN,7718.2,7844.3,NaN,8092.1,8241.9,8385.5,NaN,8573.3,8676.3,8873.5,9026.4,9151,NaN,9403.9,9546.8,9688.5,9929.4,10078,10187,NaN,10444,10588,10721,10939,11092,11196,NaN,11469,11613,11753,NaN,11942,12041,12269,12446,12588,NaN,12813,12957,13096,NaN,13286,13388,NaN,13667,13804,13944
