n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1829.1,2138.5,2297.2,2439.8,2589.2,2703.2,NaN,2888.2,3033.3,3245.3,NaN,3325.3,3527.4,NaN,3713.8,3862.2,4078.7,NaN,4160.7,4350.7,NaN,4542.4,4690.3,4909.1,NaN,4991,5193.2,NaN,5381.2,5531.1,5750.1,NaN,5837,6047.1,6197.3,6341,6501.7,6626.8,NaN,6820.1,6972.4,7192.2,NaN,7276.2,7471.6,NaN,7666.6,7823.7,8041.2,8189.3,8297.2,8487.6,NaN,8684.6,8834.2,9055.1,NaN,9140.4,9329.3,9528.8,9682.6,9836.1,9983.2,NaN,10172,10327,10483,NaN,10648,10855,NaN,11055,11209,11468,11626,11748,11940,NaN,12143,12299
1864,2189.8,2367.8,2514.8,2665.2,NaN,2841.3,2977.3,3115.7,NaN,3294.2,3389.2,NaN,3662.1,3810.9,3947.1,NaN,4129.2,4231.6,NaN,4491.2,4638.8,4771.1,NaN,4959.2,5064.4,NaN,5332.4,5481,5614.3,NaN,5799.3,5923.6,6116.2,6275,6419.6,6579.4,NaN,6769.1,6922.8,7056.4,NaN,7245.8,7350.9,NaN,7617.1,7774,7906.5,8117.4,8262.2,8393.2,NaN,8638.7,8788.7,8919.5,NaN,9107.2,9214.2,9441.1,9604.6,9777,9915.4,NaN,10123,10277,10415,NaN,10605,10741,NaN,11006,11155,11294,11544,11702,11847,NaN,12093,12246,12385
