n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n
2396.7,2568.8,3009,4538.5,5237.4,5684.7,5831.7,5987.6,6126.1,6281.3,6436.8,6564.9,NaN,6759.1,6902.6,7116.1,NaN,7194.8,7380.1,NaN,7572.5,7717,7931,NaN,8014.4,8209.7,NaN,8391.7,8536.8,8755.8,NaN,8879.8,9034.5,9322.8,9467.4,9581.8,NaN,9766.5,9911,10132,NaN,10212,10404,NaN,10600,10745,10965,NaN,11048,11241,NaN,11436,11586,11793,11942,12048,12235,NaN,12431,12580,12779,12940,13045,13237,NaN,13431,13579,13794,NaN,13877,14074,NaN,14271,14422,14643,NaN,14726,14937,15089,15242,15378,NaN,15572,15724,15948,NaN,16038,16234,NaN,16433,16587,16805,NaN,16890,17109,17270,17429,17583,17735,17855,NaN,18053,18207,18427,NaN,18509,18708,NaN,18905,19056,19304,19463,19569,19771,NaN,19970,20121,20345,NaN,20431,20615,NaN,20818,20981,21205
2485.2,2666,3097.7,4623.9,5272.1,5745.8,5884.1,6046.1,6196.1,6357.9,6511.4,NaN,6713.8,6860.4,6989.4,NaN,7165.4,7271.7,NaN,7527,7672.9,7802.8,NaN,7981.7,8090.1,NaN,8345.8,8500.6,8622.6,NaN,8803.6,8914.2,9256.6,9399.6,9540.4,NaN,9706.8,9855.8,9998,NaN,10179,10284,NaN,10552,10695,10829,NaN,11012,11137,NaN,11389,11533,11667,11871,12013,12121,NaN,12385,12524,12671,12853,13011,13115,NaN,13384,13523,13664,NaN,13844,13948,NaN,14225,14366,14508,NaN,14692,14796,15009,15167,15324,NaN,15528,15666,15812,NaN,15999,16132,NaN,16382,16527,16670,NaN,16855,16983,17181,17347,17502,17662,17810,NaN,18002,18152,18290,NaN,18476,18581,NaN,18859,18994,19142,19377,19535,19645,NaN,19923,20069,20209,NaN,20396,20502,NaN,20769,20897,21064,21256
