n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1810.7,1975.8,2149.2,2317.2,2469.2,2638.5,2792.2,2950.9,3104.6,3253.9,3386.4,NaN,3571.2,3719,3934.7,NaN,4012.8,4230,4381.5,4531.3,4677,NaN,4864.3,5007.5,5224.3,NaN,5307.2,5494.1,NaN,5687.2,5837.9,6057,NaN,6136.3,6332.2,NaN,6525.7,6672.7,6891.5,NaN,6974.5,7165.2,NaN,7360.7,7514.8,7703.7,7859.2,7973.6,8162.9,NaN,8358.2,8510.1,8729.4,NaN,8812,9012.4,9171.6,9289.5,9465.1,NaN,9661.1,9810.7,9966.7,NaN,10128,10323,NaN,10520,10680
1844.4,2021.3,2197,2362.5,2528,2693.8,2838.9,3010.7,3177.2,3329.2,NaN,3526.4,3671.8,3802.3,NaN,3982,4085.4,4294.9,4456.8,4606.1,NaN,4816,4960.2,5092.9,NaN,5271.7,5381.9,NaN,5636.3,5786.8,5925.5,NaN,6107.5,6207.5,NaN,6477.9,6630.5,6757.8,NaN,6941.4,7048.3,NaN,7314.2,7465.4,7601.2,7780,7932.7,8070.1,NaN,8309.1,8455.9,8593.8,NaN,8782,8882.2,9085.7,9246.4,9377.4,NaN,9608.7,9762.9,9897.8,NaN,10084,10224,NaN,10464,10623,10765
