l,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1984.4,2137.2,2311.7,2719.6,2876,3044.3,3216.4,3398.7,3553.3,3705.1,3825.5,NaN,4016.9,4168.2,4382,NaN,4462.7,4663.4,NaN,4854.9,5007.8,5165.8,NaN,5308.2,5515.1,NaN,5704.6,5855.1,6032,NaN,6171.4,6362.4,NaN,6559.4,6711.6,6870.9,7032.9,7144.6,7327,NaN,7523.6,7678.7,7901.8,NaN,7984.6,8188.3,8336.2,8460.1,8647.6,NaN,8848.2,9001.4,9222.2,NaN,9306.4,9506.8,NaN,9706,9861.6,10086,NaN,10172,10384,10550,10671,10869,NaN,11070,11224,11391,NaN,11562,11760,NaN,11964,12124,12318,12476,12586,12785,NaN,12990,13152,13309,NaN,13468,13693,13856,13999,14158,14267,NaN,14468,14622,14847,15014,15121,15310,NaN,15512,15669,15910,16068,16189,16384,NaN,16587,16737,16903,NaN,17067,17265,NaN,17466,17627
2021.9,2183.9,2357.2,2760.5,2930.8,3091.8,3281.1,3472.2,3628.4,3778.7,NaN,3967.6,4107.8,4249.5,NaN,4431.4,4537.2,NaN,4801.9,4949.9,5088.4,NaN,5271.9,5399.9,NaN,5653.3,5802.2,5940.8,NaN,6136,6262.7,NaN,6505.9,6657.7,6795.5,6951.1,7109.4,7233.7,NaN,7474.6,7621.8,7764.1,NaN,7949.5,8054.6,8262.2,8414,8553.3,NaN,8798.5,8947.8,9085.1,NaN,9275.9,9382.2,NaN,9659.2,9807.4,9950.5,NaN,10138,10245,10456,10626,10763,NaN,11012,11170,11313,NaN,11512,11655,NaN,11912,12064,12207,12398,12553,12663,NaN,12940,13090,13234,NaN,13431,13564,13763,13936,14078,14234,NaN,14405,14570,14714,14926,15089,15197,NaN,15461,15619,15758,15990,16144,16283,NaN,16537,16688,16822,NaN,17025,17161,NaN,17418,17572,17715
