n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,n,n,n,a,b,l,e,d,g,f,a,b,l
1292.2,1990.4,2165.2,2336.9,2508.9,2663.8,2824.2,2983.3,3137.1,3281.3,3391,NaN,3578.5,3727.4,3945.3,NaN,4030.3,4223.6,NaN,4419.3,4569.5,4791.8,NaN,4876.3,5056.8,5213.3,5319.8,5500.9,NaN,5702.6,5855.3,6012.5,NaN,6160.2,6349.7,6509.9,6615.5,6806.2,NaN,7005.8,7159.2,7320.9,NaN,7468.7,7667.7,7823.8,7936.6,8121.4,NaN,8319.4,8468.3,8699.5,8846.9,8957,9145.9,NaN,9341.2,9492.7,9648,NaN,9801.4,10007,10165,10275,10479,NaN,10675,10832,11042,NaN,11135,11337,NaN,11535,11680,11909,NaN,12010,12208,NaN,12409,12576,12864,13020,13132,13319,NaN,13520,13680,13888,NaN,13986,14193,NaN,14393,14552,14718,NaN,14951,15113,15253,15413,NaN,15613,15764,15923,NaN,16080,16279,NaN,16481
1322.9,2032.7,2206.7,2389.5,2567.7,2727.8,2896.4,3059.2,3211.6,3352.5,NaN,3533.4,3674.6,3809.6,NaN,3992.2,4104,NaN,4373.1,4514.2,4657.3,NaN,4843.2,4951.7,5132.8,5285.9,5392.2,NaN,5652.3,5807.2,5941.2,NaN,6124.6,6253.2,6425.9,6580.4,6688.5,NaN,6958.4,7110.9,7245.4,NaN,7431.1,7561.8,7744,7893.2,8026.9,NaN,8269,8423.8,8551.4,8776.8,8920.3,9051.9,NaN,9295.1,9440.1,9580.3,NaN,9765.7,9897.3,10089,10240,10354,NaN,10626,10781,10914,NaN,11104,11211,NaN,11489,11634,11765,NaN,11975,12087,NaN,12362,12510,12658,12940,13095,13226,NaN,13472,13627,13764,NaN,13951,14062,NaN,14345,14493,14638,NaN,14832,15024,15192,15334,NaN,15565,15713,15849,NaN,16043,16175,NaN,16432,16552
