n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n
1973,2107.2,2264.3,2428.2,2573.9,2722,2873.7,3016.4,3164.1,3269.4,NaN,3458.8,3598.8,3792.5,NaN,3889.4,4074.2,NaN,4263.9,4411.9,4576.2,NaN,4712.6,4906.2,NaN,5088.6,5237.9,5413.9,NaN,5533,5722.6,NaN,5915.3,6063.2,6243.8,6462.4,6565.6,6797.3
2010.7,2153.5,2317.7,2489.8,2638,2794.8,2948.2,3094.8,3235.9,NaN,3407.8,3558.4,3687,NaN,3859.6,3967.4,NaN,4222.3,4371,4494.9,NaN,4683.7,4796.7,NaN,5043.9,5195.9,5322.1,NaN,5499.6,5617.5,NaN,5872.3,6016.2,6191.4,6392.8,6534.6,6645.2,6865.8
