n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
3813.2,3953.7,4086.6,4239,4386.5,4533.7,4677.5,4792.4,NaN,4976.5,5123.2,5336.2,NaN,5414.2,5594.1,NaN,5788.5,5937,6152.5,NaN,6231.7,6416.4,6568.7,6671.2,6847.5,NaN,7041.8,7190.5,7408.3,NaN,7489.3,7678.4,NaN,7872.8,8021.5,8241.8,NaN,8322.2,8505.4,NaN,8700.4,8846.6,9035.7,9193,9294.8,9484.1,NaN,9675.4,9824.5,10045,NaN,10125,10311,10463,10568,10756,NaN,10950,11098,11320,NaN,11404,11606,11756,11865,12056,NaN,12249,12398,12646,12794,12899,13090,NaN,13285,13437,13651,NaN,13735,13938,14085,14217,14379,14485,NaN,14681,14834,15060,NaN,15144,15345,NaN,15543,15713,15849,NaN,16023,16222,NaN,16415,16573,16731,NaN,16887,17097,NaN,17295,17467
3849.2,3984,4141.1,4309.7,4455.6,4605.7,4752.6,NaN,4927.4,5073.5,5205.2,NaN,5384.6,5491.7,NaN,5736.2,5882.5,6021.4,NaN,6198.9,6306.1,6494.2,6637.3,6742.8,NaN,6995.5,7136,7277.3,NaN,7458.2,7563.5,NaN,7827.7,7970.1,8105.2,NaN,8290.6,8394.7,NaN,8651.9,8794.1,8927.9,9115.5,9260.2,9371.5,NaN,9629.6,9774.1,9911,NaN,10094,10198,10388,10533,10641,NaN,10904,11046,11183,NaN,11371,11479,11680,11830,11959,NaN,12200,12346,12484,12722,12865,12981,NaN,13239,13390,13519,NaN,13703,13813,14009,14161,14301,14452,NaN,14627,14788,14921,NaN,15113,15223,NaN,15495,15647,15793,NaN,15976,16116,NaN,16365,16515,16658,NaN,16851,16979,NaN,17250,17394,17546
