n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1983.5,2159.9,2326.4,2468,2605.1,2760,2868.1,NaN,3058.8,3202.4,3412.4,NaN,3494.1,3675.1,NaN,3868.2,4017.1,4227.7,NaN,4310.1,4488.3,4641.3,4743.6,4933.6,NaN,5130,5282.2,5502.8,NaN,5586,5782.5,NaN,5978.8,6132,6354.4,NaN,6436.5,6621.8,NaN,6822.7,6982,7139.7,NaN,7285.1,7471.8,NaN,7671,7823.7,8047.2,NaN,8126.8,8317.7,NaN,8515.7,8667.8,8885.8,9030.8,9136.3,9328.3,NaN,9522.9,9680.8,9925.6,NaN,10009,10218,10403,10514,10696,NaN,10892,11041,11253,NaN,11350,11549,NaN,11749,11901,12121,NaN,12220,12417,NaN,12614,12762,12963,13123,13241,13476,13644,13793,13907,NaN,14106,14268,14505,14660,14776,14965,NaN,15170,15325,15533,NaN,15633,15903,16086,16242,16402,16559,16682,NaN,16881,17033,17263,NaN,17347,17549,NaN,17749,17907
2041.3,2215,2384.5,2526.1,2687.4,2834.1,NaN,3003.6,3139.1,3283.1,NaN,3461.4,3563.1,NaN,3823.1,3956.3,4097.2,NaN,4276.9,4381.5,4563.5,4712.5,4813.7,NaN,5080.2,5212.3,5365.6,NaN,5555.3,5659,NaN,5931.4,6072.8,6215.4,NaN,6404.2,6508.4,NaN,6771.4,6917.8,7063.2,NaN,7247.6,7372.7,NaN,7614.4,7771.4,7908,NaN,8097.8,8196.7,NaN,8468.5,8607.6,8749.4,8958.1,9102.2,9208.2,NaN,9477.5,9614.6,9762.5,NaN,9974.7,10082,10294,10471,10607,NaN,10845,10998,11128,NaN,11316,11431,NaN,11699,11854,11990,NaN,12186,12299,NaN,12568,12724,12848,13042,13203,13339,13543,13720,13870,NaN,14060,14212,14353,14582,14740,14856,NaN,15113,15266,15412,NaN,15602,15714,15957,16159,16326,16483,16638,NaN,16833,16983,17120,NaN,17317,17431,NaN,17701,17859,17996
