n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
3173.5,3335.8,3517.9,3684.1,3840.1,3986,4119.5,NaN,4304.8,4450.3,4667.1,NaN,4743.4,4937.8,NaN,5134.2,5281.7,5497.7,NaN,5579.3,5772.9,NaN,5970.4,6121.6,6339.6,NaN,6421,6615,6763.9,6872.4,7062,NaN,7254.5,7404,7556.8,NaN,7710.5,7903.6,NaN,8097.2,8246.2,8465.9,8616.8,8720.7,8916.8,NaN,9113.6,9265.2,9480.4,NaN,9564.6,9757.7,NaN,9956,10109,10317,NaN,10420,10620,NaN,10816,10972,11172,NaN,11271,11459,NaN,11662,11820,12040,12184,12295,12492,NaN,12690,12847
3211.8,3376.7,3571.6,3747.1,3918.8,4061.6,NaN,4256.8,4405.1,4536.7,NaN,4715.8,4817.6,NaN,5086.1,5237.2,5368.9,NaN,5549.1,5653.3,NaN,5923.1,6072.2,6206,NaN,6390.9,6495.7,6691.6,6837.8,6946.5,NaN,7205.9,7358.2,7490.3,NaN,7673,7803,NaN,8052.5,8201.7,8335.1,8547.6,8690.6,8796.6,NaN,9067.7,9218.9,9347.2,NaN,9535.3,9645.6,NaN,9901.1,10059,10194,NaN,10388,10499,NaN,10766,10924,11057,NaN,11244,11351,NaN,11610,11750,11902,12116,12264,12376,NaN,12645,12802,12935
