n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1990,2135.6,2282,2418.9,2559.1,2697.8,2807.6,NaN,2984.1,3120.1,3325.3,NaN,3406.4,3585.2,NaN,3768.8,3906.8,4116.2,NaN,4193.7,4388.3,NaN,4573.9,4714.1,4911.8,NaN,5003.1,5187.9,NaN,5373,5515.8,5704.9,5844.9,5948.1,6126.5,NaN,6313,6455,6666.7,NaN,6745.8,6931.9,7077.7,7189.2,7366.2,NaN,7552.4,7705,7926,NaN,8005,8190.3,NaN,8380.4,8520.6,8731.3,8876.2,8987.8,9172,NaN,9361.5,9507.7,9741.8,NaN,9825.7,10019,NaN,10210,10363,10591,NaN,10674,10868,NaN,11057,11209,11390,11536,11642,11856,12012,12157,12286,NaN,12479,12624,12843,NaN,12927,13148,13299,13420,13612,NaN,13804,13954,14201,14340,14447,14635,NaN,14828,14981,15150,NaN,15388,15539,15689,15837,15944,NaN,16137,16289,16489,NaN,16596,16796,NaN,16990,17155
2021.5,2194.8,2353.2,2495.2,2634.3,2769.3,NaN,2932.4,3081.7,3203.2,NaN,3375,3480.1,NaN,3726.7,3868.7,3989.2,NaN,4167.8,4277.2,NaN,4532.3,4672.9,4799.5,NaN,4975.2,5080.1,NaN,5332.9,5473.5,5600.1,5779.6,5914.7,6022.5,NaN,6271.1,6412.7,6535.6,NaN,6716.4,6827.7,7006,7145.2,7261.9,NaN,7508.1,7658.4,7789.3,NaN,7974.6,8084.4,NaN,8334.8,8481.6,8605.2,8811.5,8951.2,9087.7,NaN,9318.7,9470.3,9593.4,NaN,9791.9,9902.9,NaN,10164,10316,10447,NaN,10643,10754,NaN,11013,11158,11294,11472,11606,11741,11920,12091,12234,NaN,12433,12581,12712,NaN,12894,13010,13218,13373,13519,NaN,13758,13903,14037,14264,14412,14543,NaN,14785,14930,15066,NaN,15264,15454,15612,15767,15914,NaN,16081,16241,16372,NaN,16563,16677,NaN,16942,17094,17242
