n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l
2146.5,2325.8,2485.2,2645.5,2799,2952.4,3097.8,3246.1,3372.5,NaN,3558.1,3703.1,3918.7,NaN,3998,4185.7,NaN,4378.5,4526.4,4746.8,NaN,4827,5014.7,5165.4,5282.2,5474.9,NaN,5664,5816.3,6034,NaN,6115.5,6306.5,NaN,6502.5,6653.6,6850.7,7007.2,7118.1,7310.4,NaN,7504.7,7654.6,7877.7,NaN,7959.5,8155.7,NaN,8354.2,8502.3,8726.9,NaN,8815.2,9002.3,NaN,9200.9,9352.3,9551,9708.1,9821.3,10010,NaN,10208,10374,10736,10879,11004,11185,NaN,11384,11537,11769,NaN,11851,12041,NaN,12244,12403,12623,NaN,12707,12911,13066,13181,13380,NaN,13578,13748,13970,NaN,14054,14244,NaN,14444,14601,14876,15026,15135,15342,NaN,15543,15702,15861,NaN,16017,16211,NaN,16414,16575,16847,16986,17097,17297,NaN,17498,17652,17814,NaN,17973,18174,NaN,18374
2194,2363.2,2542.5,2713.8,2875.9,3028.8,3177.4,3325.3,NaN,3506.2,3648.4,3788.6,NaN,3966.5,4071.3,NaN,4330,4473.1,4611.5,NaN,4798,4903.8,5085.8,5239,5365.5,NaN,5610.3,5761.8,5900.4,NaN,6084.7,6189.8,NaN,6455.4,6605.6,6734.2,6929.8,7081.5,7188.3,NaN,7456.8,7602.6,7740.7,NaN,7927.2,8036.2,NaN,8301.3,8453,8589.1,NaN,8779.6,8908.6,NaN,9145.8,9300.8,9437.3,9633.2,9787.2,9895.3,NaN,10161,10314,10457,10806,10954,11094,NaN,11330,11482,11621,NaN,11820,11926,NaN,12190,12338,12486,NaN,12675,12781,12986,13147,13253,NaN,13529,13680,13831,NaN,14018,14129,NaN,14391,14546,14687,14954,15103,15214,NaN,15487,15643,15786,NaN,15979,16112,NaN,16360,16494,16660,16904,17061,17188,NaN,17446,17600,17736,NaN,17933,18061,NaN,18325,18486
