n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1837.4,1989.9,2184.5,2430.2,2628.8,2802,2953.4,3109.7,3259.1,3372.7,NaN,3567.2,3717.2,3931.6,NaN,4013.3,4198.6,NaN,4393.4,4547.9,4766.4,NaN,4849,5014.9,5169.6,5275.9,5463.9,NaN,5660.4,5819.1,5975,NaN,6135.4,6331,NaN,6530.6,6685,6845.9,NaN,6998.8,7191.3,NaN,7390.6,7545.9,7759.5,7912.9,8027.2,8213.5,NaN,8414.7,8575.5,9122.4,9267.6,9415.3,9552.3,NaN,9748.2,9903,10129,NaN,10215,10406,NaN,10607,10764,10922,NaN,11087,11288,NaN,11481,11641,11858,12012,12124,12328,NaN,12527,12695
1867.8,2024.4,2220.2,2471.1,2682.4,2868.1,3025.4,3182.6,3333.9,NaN,3522,3670,3803.2,NaN,3980.2,4087.9,NaN,4346.4,4495.8,4635,NaN,4818.2,4924.4,5090.3,5239.9,5351.7,NaN,5613.8,5763.9,5901.8,NaN,6095.5,6226.1,NaN,6484,6629.4,6771.3,NaN,6960.8,7095.7,NaN,7341.8,7496.5,7637.7,7834,7988.7,8120.2,NaN,8364.2,8505.8,8666.3,9188,9340.2,9489.4,NaN,9701.7,9852.8,9991.3,NaN,10179,10289,NaN,10561,10712,10848,NaN,11041,11181,NaN,11430,11581,11728,11936,12088,12219,NaN,12477,12622,12782
