n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1974.5,2145.2,2331.4,2695.5,3111.2,3316.2,3472,3625.2,3775.4,3922.1,4060.8,NaN,4244.8,4385.9,4600.6,NaN,4677.4,4867.3,NaN,5058.9,5205.9,5409.7,NaN,5502.8,5702.3,5855.7,6002.4,6126.6,NaN,6320.2,6468,6691.2,NaN,6772.6,6955.9,NaN,7150.4,7298.2,7517.5,NaN,7596.1,7787,NaN,7978.8,8126,8299.2,8453.5,8560.8,8749.9,NaN,8941.8,9092.3,9312.4,NaN,9393.8,9602,9756.4,9876.1,10066,NaN,10262,10417,10660,10804,10909,11110,NaN,11299,11447,11669,NaN,11750,11968,NaN,12154,12305,12472,NaN,12627,12813,12972,13097,13286,NaN,13480,13650,13872,14027,14144,14329,NaN,14525,14684,14914,NaN,15003,15223,15380,15536,15661,NaN,15858,16013,16241,NaN,16326,16542,16704,16820,17022,NaN,17222,17388,17546,NaN,17817,17982,18132,18291,18441,NaN,18643,18794,19022,NaN,19110,19351,19503,19662,19824,19982,NaN,20179,20337,20570,NaN,20653,20871,21033,21187,21385,NaN,21588,21755
2016.8,2191.3,2374.8,2748.9,3153.2,3374.3,3544.2,3698.6,3846.8,3993.7,NaN,4200.4,4344.3,4472.7,NaN,4650.9,4751.7,NaN,5014.3,5160.6,5291.2,NaN,5472.6,5584.1,5779.4,5934.3,6077.8,NaN,6275.2,6425.4,6555.8,NaN,6742.9,6853.3,NaN,7103.3,7255.4,7381,NaN,7569.1,7671,NaN,7935.4,8080.1,8212.6,8377.5,8526.4,8635.1,NaN,8897.2,9043.9,9182.7,NaN,9366.4,9473.1,9677.1,9834.3,9969,NaN,10217,10371,10503,10729,10879,10991,NaN,11250,11399,11535,NaN,11722,11833,NaN,12109,12256,12391,NaN,12590,12717,12888,13048,13187,NaN,13436,13590,13737,13949,14103,14236,NaN,14482,14634,14770,NaN,14970,15084,15294,15458,15617,NaN,15813,15959,16099,NaN,16295,16407,16613,16784,16928,NaN,17173,17327,17474,NaN,17668,17887,18063,18212,18373,NaN,18596,18747,18883,NaN,19074,19186,19416,19586,19744,19902,NaN,20133,20285,20426,NaN,20624,20738,20940,21111,21291,NaN,21540,21691,21840
