n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,n,n,n,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e
2728.6,2882,3026,3166.2,3307.6,3418.3,NaN,3601.9,3740.8,3949.1,NaN,4026.8,4213.5,NaN,4401.2,4545.6,4759.3,NaN,4838.1,5020.2,NaN,5206.9,5354,5574.6,NaN,5661.3,5846.8,NaN,6032.9,6182.2,6395.3,NaN,6472.7,6657,NaN,6847.2,6997.8,7192.2,7337.7,7443.8,7622.6,NaN,7810.2,7956.8,8173.2,NaN,8252.2,8437.1,NaN,8627.3,8772.5,8995.3,NaN,9076.2,9277.9,9431.1,9561.2,9738.9,NaN,9930.3,10075,10295,NaN,10379,10576,NaN,10768,10924,11111,11262,11366,11551,NaN,11746,11892,12114,NaN,12197,12392,NaN,12585,12735,12939,NaN,13039,13231,13386,13490,13705,13853,13993,14101,NaN,14295,14440,14656,NaN,14739,14973,15186,15330,15454,15636,NaN,15833,15991,16211,16356,16458,16650,NaN,16846,17009,17166,17478,17625,17914,18024,NaN,18214,18377
2795.5,2947.9,3098.5,3242,3383.1,NaN,3560.2,3702.5,3822.9,NaN,3997.2,4100,NaN,4358.7,4503.9,4631.5,NaN,4806.5,4917.4,NaN,5161.9,5313.3,5440.6,NaN,5625.6,5740.2,NaN,5989.1,6133.8,6267.6,NaN,6446.3,6550.7,NaN,6801.5,6956.2,7077.6,7266.6,7410,7520.9,NaN,7763.8,7914.7,8039.2,NaN,8223.1,8334.3,NaN,8581.4,8732.6,8855.6,NaN,9044.4,9150.1,9355.2,9502.1,9644.8,NaN,9883.5,10030,10157,NaN,10346,10459,NaN,10719,10878,11004,11190,11334,11443,NaN,11700,11848,11976,NaN,12164,12277,NaN,12539,12687,12821,NaN,13011,13114,13307,13458,13567,13770,13924,14066,NaN,14241,14396,14525,NaN,14705,14811,15031,15256,15404,15544,NaN,15783,15935,16073,16284,16428,16531,NaN,16799,16941,17092,17274,17543,17836,17989,NaN,18168,18299,18458
