n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,a,b,l,e
2107.8,2257.2,2400.7,2543.8,2679.4,2815.7,2956,3059.2,NaN,3234.6,3375.5,3582.2,NaN,3663,3843.6,NaN,4028.6,4167.7,4380.2,NaN,4458.5,4656.5,NaN,4842.7,4988.9,5200.8,NaN,5279.8,5474,5620,5760.3,5877.5,NaN,6063.9,6206,6423.6,NaN,6504.6,6694.6,NaN,6883.4,7028.2,7208.6,7362.5,7470.1,7667.7,NaN,7854.3,8006.4,8294.4,8431.2,8539.7,8716.1,NaN,8904.8,9058.2,9271.3,NaN,9352.4,9557.2,NaN,9748.1,9893,10262,10399,10511,10691,NaN,10883,11025,11237,NaN,11318,11511,NaN,11706,11857,12023,NaN,12176,12367,12513,12621,12819,NaN,13010,13169,13388,NaN,13474,13663,NaN,13855,14017,14283,14432,14567,14700,NaN,14883,15032
2150.2,2316.1,2469.4,2610.6,2750.5,2886.8,3021.6,NaN,3179.9,3331.5,3455.4,NaN,3629.8,3722.9,NaN,3982.6,4127.7,4248.5,NaN,4425.8,4533.4,NaN,4799,4944.2,5069,NaN,5245.1,5354.9,5543.9,5691.1,5836.4,NaN,6018.9,6164.6,6291.2,NaN,6474,6578.3,NaN,6838.9,6982.4,7111.1,7280.9,7430.3,7547.6,NaN,7811.9,7960.2,8089.9,8360.2,8498.9,8601.3,NaN,8860.5,9004.5,9136.9,NaN,9318.7,9424,NaN,9702.2,9850,9975.7,10324,10472,10602,NaN,10839,10984,11108,NaN,11286,11394,NaN,11657,11812,11936,NaN,12132,12268,12438,12585,12714,NaN,12963,13116,13252,NaN,13438,13552,NaN,13810,13956,14101,14323,14508,14642,NaN,14838,14983,15113
