n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,l,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e
1986.8,2106.8,2236.8,2391.2,2523.6,2684.9,2836.5,2981.8,3083.6,NaN,3272.2,3417.8,3610.3,NaN,3709.2,3888.4,NaN,4082.3,4226.2,4418.9,NaN,4519.8,4703.8,NaN,4894.1,5041.5,5221.1,NaN,5337,5517.6,5663.6,5769.6,5948.2,NaN,6142,6288.9,6453.1,6597.1,6710.4,6892.5,NaN,7085.8,7227,7379.3,7535.2,7644,7830.5,NaN,8024.3,8168.8,8365.2,NaN,8465.9,8651.1,NaN,8846.2,8993.9,9174.1,9329.5,9438.2,9629.8,NaN,9823.6,9971.1,10189,NaN,10271,10462,NaN,10656,10810,11005,11155,11268,11463,NaN,11656,11802,11998,NaN,12102,12290,12457,12566,12753,NaN,12948,13105,13335,NaN,13420,13632,13764,13914,14022,14234,NaN,14429,14578,14741,NaN,14901,15082,15244,15385,15534,NaN,15728,15882
2029.9,2156.4,2300,2456.6,2593.3,2762.4,2912.6,3051.3,NaN,3221.6,3379.1,3503.4,NaN,3676.8,3782.4,NaN,4035.7,4183.1,4309.8,NaN,4489.7,4596.4,NaN,4850.8,4993.1,5128.1,NaN,5308.2,5415.4,5593.8,5733.6,5841.2,NaN,6094.2,6244.8,6377.8,6528.2,6670.1,6812.6,NaN,7040.6,7188.1,7312.3,7458.6,7608.7,7722.7,NaN,7979,8126.7,8254.1,NaN,8437.9,8540.4,NaN,8800.5,8949.1,9080.9,9253.4,9404.5,9516.4,NaN,9779.4,9929,10062,NaN,10242,10351,NaN,10612,10765,10895,11083,11235,11354,NaN,11612,11760,11887,NaN,12075,12186,12368,12530,12650,NaN,12901,13053,13196,NaN,13388,13503,13677,13839,13987,14097,NaN,14382,14534,14671,NaN,14855,15003,15165,15318,15461,NaN,15683,15835,15973
