n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b
1536.3,1978.7,2118.8,2277.8,2454.2,2616.6,2782.2,2931.2,3097.3,3240.5,NaN,3428.4,3574.7,3791.6,NaN,3874.4,4065.1,NaN,4254.6,4409.8,4624.1,NaN,4706.9,4909.2,5064.4,5190.3,5363.1,NaN,5559.6,5706,5929.5,NaN,6011.2,6211.1,NaN,6409,6566,6741.9,6902.4,7016.5,7208.4,NaN,7405.1,7555.1,7712.6,NaN,7866.9,8062.3,NaN
1576,2020.7,2175,2341.2,2508.9,2683.6,2857.7,3006.2,3174.1,NaN,3379.5,3523.9,3660.9,NaN,3840.4,3946.6,NaN,4201.2,4355.5,4492.3,NaN,4675.8,4783.4,4985,5145.1,5282.2,NaN,5512.4,5657.1,5789.2,NaN,5982.3,6083.8,NaN,6362.3,6515.3,6652.5,6821.7,6976.7,7112.3,NaN,7359,7509.1,7638.7,NaN,7831.5,7963.4,NaN,8111.2
