n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e
2273.8,2421.1,2571.3,2716.8,2870,3015.2,3158.9,NaN,3338.3,3484.8,3692.1,NaN,3771.7,3952.4,NaN,4148.5,4293.7,4513.9,NaN,4597.6,4782.6,NaN,4978.5,5128.3,5348,NaN,5429,5626,5772.2,5874.6,6057.8,NaN,6251.8,6405.6,6565.5,NaN,6706.8,6888.7,NaN,7087.5,7234.3,7415.7,NaN,7544.5,7748.1,NaN,7945.4,8106.4,8322.2,NaN,8407.1,8626,NaN,8824.6,8974,9237,9380.8,9487.3,9683.7,NaN,9880.2,10035,10194,NaN,10337,10557,10712,10864,10969,NaN,11165,11328
2321.7,2481,2623.4,2776.4,2949,3094.3,NaN,3281.4,3427.9,3564.5,NaN,3739.9,3839.1,NaN,4096.8,4240.2,4374.3,NaN,4562.6,4667.2,NaN,4931.5,5073.8,5208.8,NaN,5398.6,5502.2,5699.8,5841,5945,NaN,6207,6352.9,6486.6,NaN,6668.3,6798.8,NaN,7038,7175.9,7316.9,NaN,7506,7638.4,NaN,7895.4,8037.9,8187.2,NaN,8372,8480.6,NaN,8775.7,8923.6,9055.6,9299.1,9451.2,9560.1,NaN,9835.3,9972.9,10118,NaN,10300,10429,10626,10786,10939,NaN,11110,11263,11412
