n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1982.8,2126.6,2284.2,2477.7,2652.4,2803.1,2959.1,3114.9,3263.4,3420.7,3569.7,3712.8,3826.2,NaN,4012.5,4158.9,4365.7,NaN,4448,4629.7,NaN,4819.4,4964.8,5159.8,NaN,5262.3,5447.7,NaN,5636,5785.8,5989.8,6138.5,6243.3,6420.3,NaN,6611,6759.6,6979.4,NaN,7062.2,7241.2,7386.7,7491.8,7680.5,NaN,7873.7,8021.4,8236.2,8381.1,8485.7,8672.7,NaN,8864,9014.1,9230.8,NaN,9313.7,9504,NaN,9699.7,9846.3,10049,NaN,10144,10336,NaN,10525,10674,10878,NaN,10981,11169,NaN,11364,11515,11771,11920,12027,12211,NaN,12404,12553,12750,NaN,12863,13041,13200,13307,13499,NaN,13692,13848,14381,14522,14637,14813,NaN,15006,15162,15356,NaN,15458,15651,NaN,15846,16002,16241,16398,16504,16695,NaN,16891,17059,17214,NaN,17368,17590,17749,17895,18040,18152,NaN,18349,18510,18672,NaN,18832,19038,NaN,19259,19407
2017.4,2173.1,2333.8,2530.1,2703,2862.8,3014.4,3176.4,3336.4,3493.4,3644.9,3785.7,NaN,3967.8,4111.8,4240.6,NaN,4416.6,4523.9,NaN,4776.4,4924.2,5048.5,NaN,5226.8,5336,NaN,5593.8,5741.3,5869.8,6069.8,6210.7,6318.7,NaN,6567.7,6713.9,6842.3,NaN,7031.2,7136.5,7317.8,7458.7,7566.1,NaN,7825.4,7974.8,8107.9,8311.1,8453.4,8560.8,NaN,8819,8967.7,9102.7,NaN,9283.5,9392.9,NaN,9650.8,9803,9931.4,NaN,10115,10223,NaN,10483,10628,10756,NaN,10951,11054,NaN,11318,11469,11601,11847,11991,12108,NaN,12360,12506,12642,NaN,12828,12940,13121,13275,13387,NaN,13648,13801,13933,14449,14599,14738,NaN,14962,15111,15245,NaN,15432,15545,NaN,15798,15929,16085,16318,16475,16594,NaN,16846,16993,17144,NaN,17331,17467,17664,17827,17975,18118,NaN,18291,18451,18598,NaN,18792,18935,NaN,19189,19360,19493
