n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e
4906.3,5063.2,5197.5,5348.7,5487.3,5630.6,5739.5,NaN,5924.2,6068.1,6277.1,NaN,6354.3,6534.7,NaN,6726.3,6872.4,7085,NaN,7165.6,7344.3,7489.2,7593.7,7772.3,NaN,7959.8,8106.3,8322.1,NaN,8401.5,8606.5,NaN,8799.5,8954.7
4946.4,5118.6,5262.2,5415,5563.2,5707.2,NaN,5870.2,6029.4,6152.7,NaN,6326.1,6427,NaN,6672.4,6827.6,6954.8,NaN,7133.2,7239.3,7418.2,7562.2,7662.2,NaN,7917.6,8060.9,8191.2,NaN,8371.9,8470.1,NaN,8752.2,8899.6,9038.1
