n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l
2759.9,3419.2,3576.2,3928.6,4898,5041,5187.1,5328.3,5468.8,5601.2,NaN,5788.5,5929.3,6139.3,NaN,6217.6,6395.6,NaN,6585,6725.7,6937.5,NaN,7017.3,7211.5,NaN,7394.9,7537.4,7747.8,NaN,7827.8,8012.8,NaN,8202.7,8349.9,8565.4,NaN,8645,8828.1,NaN,9020,9172.3,9329.8,9481.5,9585.4,9775.6,NaN,9964.3,10112,10331,NaN,10407,10606,10754,10866,11051,NaN,11241,11390,11608,NaN,11688,11882,NaN,12073
2804.8,3476.2,3644.9,3974.8,4946.8,5098.9,5256.3,5400.5,5545.4,NaN,5750,5888.8,6015,NaN,6184.3,6289.8,NaN,6542.3,6685.7,6810.3,NaN,6986.3,7094.7,NaN,7349.6,7494.1,7623.3,NaN,7793.8,7901.9,NaN,8161.4,8305.9,8436.8,NaN,8614.7,8727.9,NaN,8974.2,9126.4,9258.4,9409.5,9551.9,9663.2,NaN,9919.6,10068,10197,NaN,10379,10490,10679,10830,10959,NaN,11200,11344,11473,NaN,11660,11775,NaN,12030,12177
