n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1993.6,2146.9,2281.2,2427,2566.1,2704.9,2819.2,NaN,3001.7,3140.2,3345.1,NaN,3423.6,3600.2,NaN,3787.6,3930.7,4124.2,NaN,4229.8,4408.3,4547.6,4653.8,4832.3,NaN,5021.7,5168.1,5368.8,5507.9,5609.5,5805,NaN,5997,6156.3,6659.8,6805.6,6938.1,7074.9,7192.6,NaN,7378.2,7528.5,7741,NaN,7828.5,8022.9,NaN,8217.3,8367.8
2028.9,2182.2,2341.2,2500.7,2640.9,2778.8,NaN,2944.1,3100.5,3221.6,NaN,3394.8,3494.9,NaN,3744.9,3891.9,4013.1,NaN,4196.7,4304.3,4487.4,4623.1,4729.8,NaN,4978.9,5123.7,5254.4,5443.5,5582,5687.9,NaN,5954,6092.6,6244.7,6729.5,6879.5,7016.3,7153.1,NaN,7319.2,7478.7,7611.5,NaN,7793.3,7906.2,NaN,8171.3,8323.7,8450.8
