n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e
5560.6,5713.5,5848.2,6002,6152,6303.8,6447.8,6592.4,6716.8,NaN,6902.8,7049.6,7264.2,NaN,7341.5,7530.9,NaN,7716.9,7862.2,8082.1,NaN,8163.4,8352.9,NaN,8548.2,8698.7,8911.5,NaN,8990.1,9182.5,NaN,9374.4,9521.8,9742,NaN,9823.2,10019,NaN,10214,10367,10548,10704,10815,10990,NaN,11182,11331,11492,NaN,11634,11820,11970,12081,12269,NaN,12465,12612,12770,NaN,12921,13124,NaN,13314,13466,13691,NaN,13774,13970,NaN,14168,14323,14521,14673,14791,14973,NaN,15171,15323,15549,NaN,15633,15848,16003,16155,16312,16461,16581,NaN,16772,16923,17145,NaN,17226,17470,17622,17740,17924,NaN,18135,18284,18451,NaN,18602,18795,NaN,18991,19158
5592.6,5749.3,5908.1,6070.4,6224.2,6373.3,6520.5,6664.7,NaN,6852.6,6991.9,7134.2,NaN,7311.5,7415.4,NaN,7663.1,7801.6,7947.6,NaN,8128.1,8240.9,NaN,8494.6,8640.1,8780.8,NaN,8960.2,9065.8,NaN,9322.8,9464.7,9606.4,NaN,9790,9898.8,NaN,10165,10309,10449,10626,10774,10902,NaN,11127,11274,11414,NaN,11599,11725,11895,12041,12171,NaN,12410,12561,12698,NaN,12885,13014,NaN,13265,13413,13550,NaN,13741,13853,NaN,14116,14265,14406,14601,14745,14885,NaN,15121,15264,15408,NaN,15599,15710,15919,16077,16232,16394,16538,NaN,16725,16871,17006,NaN,17194,17304,17535,17695,17833,NaN,18071,18232,18368,NaN,18563,18696,NaN,18939,19090,19240
