n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2473.1,2615.1,2757.4,2898.8,3035.4,3145.6,NaN,3324.1,3461,3669.9,NaN,3746.3,3926.3,NaN,4113.8,4254.3,4463.3,NaN,4542.5,4723,NaN,4911.8,5055.6,5268.2,NaN,5346.8,5528,NaN,5721.6,5866.1,6127.8,6267.5,6378.2,6556.8,NaN,6737.2,6879.5,7092.5,NaN,7173.3,7359.2,NaN,7549.5,7700.6,7910.2,NaN,7994.3,8182.2,NaN,8375,8524.8,8706.2,8858.8,8965.7,9149.3,NaN,9340,9484.6,9717.5,9860.7,9969,10157,NaN,10349,10496,10708,10849,10957,11141,NaN,11332,11492,11690,NaN,11779,11974,NaN,12170,12325,12536,NaN,12617,12832,12970,13125,13234,NaN,13429,13581,13806,NaN,13890,14083,NaN,14281,14435,14788,14926,15037,15233,NaN,15427,15578,15802,NaN,15887,16086,NaN,16288,16437,16700,16844,16951,17141,NaN,17341,17492,18464,18599,18748,18858,NaN,19054,19201,19420,NaN,19499,19691,NaN,19884,20038
2524.1,2683.5,2829.4,2974.2,3105.3,NaN,3270.9,3424.6,3547.5,NaN,3720.3,3818,NaN,4071.3,4214.5,4337.2,NaN,4513.3,4615.6,NaN,4865.5,5020,5141.7,NaN,5319.7,5421.1,NaN,5671.1,5817.1,5950,6192.3,6342.5,6463.8,NaN,6693.6,6832.6,6959.3,NaN,7139.7,7241.8,NaN,7500.4,7642.9,7779,NaN,7960.6,8064.6,NaN,8328.6,8464,8606.2,8775.8,8930.2,9034.4,NaN,9287.2,9425.6,9569.2,9792.6,9930.8,10057,NaN,10305,10443,10580,10780,10919,11047,NaN,11286,11422,11569,NaN,11748,11852,NaN,12117,12254,12405,NaN,12586,12688,12894,13045,13198,NaN,13382,13522,13664,NaN,13856,13962,NaN,14233,14378,14514,14854,15001,15126,NaN,15382,15523,15662,NaN,15852,15964,NaN,16240,16391,16518,16773,16915,17030,NaN,17292,17441,17575,18524,18674,18821,NaN,19004,19157,19286,NaN,19471,19573,NaN,19833,19983,20121
