n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1984.2,2129.4,2288.4,2439.8,2588.5,2729.5,2873.8,3010.2,3114.1,NaN,3295.4,3439.8,3647.3,NaN,3727.2,3911.9,NaN,4103.8,4254.3,4479.2,4621.8,4721.5,4894.7,NaN,5083.9,5234.6,5444,NaN,5529.8,5714.6,5871.8,5981.2,6168.2,NaN,6356.7,6498.7,6693.6,6845.5,6953.9,7149.1,NaN,7342.1,7486.1,7703,NaN,7783.8,7967.7,8117.6,8235.5,8449.4,8598.5,8741.2,8851,NaN,9041.2,9190.3,9405.5,NaN,9491.1,9691.8,NaN,9883.2,10051,10284,10430,10543,10731,NaN,10922,11075
2020.8,2187.1,2344.7,2497.6,2653.8,2805.4,2950.1,3079.6,NaN,3242.8,3395.2,3518.8,NaN,3696,3800.3,NaN,4056,4201.9,4336.8,4556.4,4691.4,4788,NaN,5035,5186.1,5317.8,NaN,5494.8,5609.4,5793.2,5946.6,6061.9,NaN,6312.2,6453,6582.1,6768.5,6916.3,7040,NaN,7298.2,7443,7569,NaN,7754.8,7862,8044,8188.4,8332.7,8521.4,8677.8,8819.8,NaN,8985.4,9141.9,9274.7,NaN,9458.3,9572.9,NaN,9834.5,9952.8,10106,10337,10504,10632,NaN,10880,11024,11156
