n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2328.7,2499.7,2650.5,2806.3,2946.8,3072.2,NaN,3260.7,3402.9,3613.1,NaN,3694.8,3871.7,NaN,4060.4,4204.3,4417.1,NaN,4493.9,4682.4,NaN,4872.2,5017.3,5235.6,NaN,5318.3,5513.2,NaN,5701.6,5847.7,6060.4,NaN,6139.8,6325.3,NaN,6516.6,6667.8,6880.7,NaN,6963.2,7144.4,7297.6,7407.2,7595.1,NaN,7789.6,7939,8092.4,NaN,8245.2,8442.5,NaN,8635.8,8788.4,9007.9,NaN,9096.1,9295.8,9439.9,9552.5,9729.5,NaN,9923.7,10077,10320,NaN,10404,10599,NaN,10793,10944,11180,NaN,11264,11457,NaN,11652,11806,12022,12170,12276,12480,NaN,12674,12825,12975,NaN,13141,13365,13517,13648,13815,13969,14116,14229,NaN,14424,14576,14733,NaN,14892,15098,NaN,15292,15460
2382,2552.7,2715.7,2877.5,3023.8,NaN,3216.5,3360.4,3489.1,NaN,3661.5,3774.4,NaN,4013.8,4163.5,4290.8,NaN,4466.4,4566.9,NaN,4825.8,4975.7,5104.3,NaN,5284.2,5395.4,NaN,5658.7,5808.1,5933.6,NaN,6113.3,6220.8,NaN,6471.2,6622.2,6753.2,NaN,6934.1,7031.2,7225.5,7369.4,7504.5,NaN,7745.2,7890.1,8022.5,NaN,8206.6,8340,NaN,8591.7,8738.6,8872,NaN,9061.7,9174.9,9371,9515.5,9625,NaN,9879.1,10028,10158,NaN,10368,10478,NaN,10746,10894,11028,NaN,11232,11341,NaN,11604,11755,11888,12101,12242,12352,NaN,12629,12779,12911,NaN,13094,13234,13434,13593,13728,13891,14049,14192,NaN,14377,14527,14664,NaN,14850,14997,NaN,15249,15403,15543
