n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l
3162.2,3306.2,3449.7,3594.4,3740.6,NaN,3922.6,4061.1,4272.6,NaN,4351.8,4534.4,NaN,4725.5,4873.3,5090.7,NaN,5174.2,5349.2,5495.5,5600.3,5784.6,NaN,5982.3,6137,6339.2,6484,6585.5,6771.9,NaN,6968.5,7116.6,7333.9,NaN,7411.7,7617.5,7768.2,7911,8026.6,NaN,8222.7,8373.2,8594.3,NaN,8683.8,8869.3,NaN,9068.5,9221,9400.6,9548.1,9659.9,9852.9,NaN,10051,10211,10474,10620,10732,10922,NaN,11121,11270,11486,NaN,11568,11757,NaN,11953,12118,12542,12687,12799,12987,NaN,13183,13348,13507,13766,13910,14064,14213,14343,NaN,14537,14699,14873,15033,15139,15332,NaN,15534,15700,15878,NaN,16024,16215,NaN,16421
3216.8,3362.4,3518.9,3665.8,NaN,3873.5,4013.7,4142,NaN,4320.5,4418.7,NaN,4677.9,4807.7,4954.9,NaN,5140.9,5243.8,5418.9,5565.5,5669.9,NaN,5929.2,6063.5,6213.1,6414.7,6551.9,6653.8,NaN,6919.8,7053.4,7197.1,NaN,7381.5,7486.1,7684,7844.8,7986.2,NaN,8172.4,8314,8457.1,NaN,8641.6,8771.9,NaN,9018.1,9139.7,9300.2,9471.6,9618.2,9747.2,NaN,10003,10142,10292,10547,10692,10824,NaN,11074,11215,11346,NaN,11535,11643,NaN,11904,12040,12197,12612,12759,12892,NaN,13135,13279,13429,13615,13832,13986,14135,14294,NaN,14490,14625,14776,14947,15103,15209,NaN,15477,15626,15784,NaN,15986,16114,NaN,16365,16511
