n,n,n,n,n,n,n,a,b,l,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1841.7,1986.5,2142.4,2305.1,2445.4,2593.2,2734.3,2842.2,NaN,3030,3378.7,NaN,3458.2,3640.3,NaN,3830.3,3975.2,4150.9,4294.9,4395.5,4587.1,NaN,4780.1,4929.7,5152.3,NaN,5234.6,5421.8,NaN,5616,5765,6102.4,6240.4,6354.7,6544.7,NaN,6738.6,6902.1,7118.4,NaN,7201.5,7401.8,NaN,7598,7756
1877.3,2038.3,2196.9,2366.2,2523.5,2667.8,2806.5,NaN,2985.4,3258.2,NaN,3426.8,3532.9,NaN,3787.6,3928.5,4060,4226.6,4367.8,4467.7,NaN,4735.5,4880.5,5015.3,NaN,5204.9,5304.8,NaN,5571.3,5723.4,5852.3,6165.2,6310.2,6458.1,NaN,6694.1,6840.8,6984.6,NaN,7166.3,7281.5,NaN,7550.9,7696,7842.4
