n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l
1992.3,2129.5,2326.2,2486.7,2633.2,2787.6,2941.9,3087.4,NaN,3274.4,3419.3,3630.9,NaN,3715.7,3902.7,NaN,4097.8,4244.8,4460.8,NaN,4543.2,4749.7,4897.2,5044.2,5166.1,NaN,5351.8,5506.6,5725.4,NaN,5803.9,5998.1,NaN,6195.9,6347.7,6564.9,NaN,6645.1,6842,NaN,7042,7195,7409.7,NaN,7492.6,7692.1,7843.5,7948.6,8141.6,NaN,8340.3,8485.9,8707.3,NaN,8793.8,8994.8,NaN,9188.3,9349.3,9575.9,NaN,9656.7,9860.4,NaN,10057,10217,10438,10580,10680,10866,NaN,11066,11228,11450,NaN,11532,11729,NaN,11927,12196,12346,12484,12604,NaN,12803,12956,13187,NaN,13269,13468,NaN,13674,13824,14044,NaN,14130,14357,14516,14628,14821,NaN,15021,15184,15413,NaN,15499,15745,15904,16023,16208,NaN,16414,16584,16777,16939,17049,17255,NaN,17460,17638,17854,NaN,17939,18159,NaN,18358
2031.5,2175.7,2375.5,2550.5,2707,2865.5,3017.7,NaN,3223.4,3355.3,3503.9,NaN,3680,3784.8,NaN,4049,4196,4329.3,NaN,4512.3,4617.4,4817.2,4974.4,5121.8,NaN,5303.8,5449.1,5592.1,NaN,5774.5,5877.3,NaN,6145.7,6288.7,6431.1,NaN,6613.9,6720.1,NaN,6990.3,7139,7276.1,NaN,7459,7566.8,7765.1,7913.1,8023.1,NaN,8289.1,8439.2,8573.2,NaN,8759.1,8871.7,NaN,9137.6,9283.2,9430.8,NaN,9626.7,9733.3,NaN,10004,10154,10302,10513,10647,10753,NaN,11018,11158,11310,NaN,11502,11605,NaN,11875,12025,12269,12427,12561,NaN,12756,12905,13040,NaN,13239,13339,NaN,13622,13767,13909,NaN,14097,14203,14425,14593,14721,NaN,14973,15116,15268,NaN,15468,15584,15810,15980,16115,NaN,16365,16507,16670,16854,17015,17126,NaN,17408,17559,17721,NaN,17907,18012,NaN,18312,18457
