n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1415,1794.8,1990,2180.3,2341.5,2516.2,2664.6,2817.7,2961.8,3099.8,NaN,3293.8,3439.6,3653.1,NaN,3732.3,3921.6,NaN,4113.1,4266.2,4483.5,NaN,4564.8,4755.3,NaN,4947.9,5096.2,5313.2,NaN,5397.6,5588.7,NaN,5781,5927,6146.6,NaN,6230.9,6416.4,6568,6675.1,6865.4,NaN,7064.2,7224.3,7432.3,7581.2,7688.8,7872.7,NaN,8069.8,8227.5,8455.7,NaN,8535.8,8731.4,NaN,8928,9081.5,9229,NaN,9384.5,9599.4,NaN,9796,9950.2,10171,10320,10425,10629,NaN,10817,10975
1457.6,1836,2029.6,2220.8,2400.7,2585.2,2738.7,2893.2,3039,NaN,3249,3393.8,3526.9,NaN,3698.4,3805.5,NaN,4063.8,4214.4,4350.7,NaN,4534.3,4645.9,NaN,4898.6,5054.8,5178.3,NaN,5368.3,5477.4,NaN,5736.7,5882.5,6011.2,NaN,6197.4,6308.5,6492.6,6637.6,6770.2,NaN,7017.6,7166.6,7314.5,7512.5,7657,7767.7,NaN,8021.9,8175.2,8310.6,NaN,8507.3,8614.7,NaN,8884.5,9032.4,9167.7,NaN,9358.1,9493.4,NaN,9749.8,9900.8,10032,10249,10395,10506,NaN,10772,10923,11060
