n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1065.5,1841.5,1994.4,2165.8,2318.4,2470,2620.4,2769.8,2893.6,NaN,3081.3,3228.2,3447.1,NaN,3530.8,3718.2,NaN,3913.7,4066.1,4283.7,NaN,4365.7,4574.4,NaN,4761.8,4918.2,5144.1,NaN,5229.9,5433.2,NaN,5632.9,5797.2,5960.8,NaN,6107.2,6315.9,NaN,6513.9,6668.6,6899.9,NaN,6984.5,7196.9,7351.2,7473.8,7663.2,NaN,7862.5,8020.3,8247.8,NaN,8329.8,8528.6,NaN,8729.4,8893.3,9099.1,9255.9,9364.4,9561.9,NaN,9762.9,9912.6,10085,NaN,10229,10420,NaN,10620,10777,11003,NaN,11088,11294,NaN,11495,11663,11875,12028,12143,12337,NaN,12543,12709,12875,NaN,13022,13262,13419,13568,13719,13826,NaN,14026,14181,14345,NaN,14493,14722,NaN,14926,15088,15357,15507,15617,15837,NaN,16038,16207,16452,16613,16731,16931,NaN,17135,17299,17456,NaN,17615,17823,NaN,18029,18199
1106.6,1877.6,2046.8,2227.4,2393.7,2546.6,2694.9,2839.9,NaN,3029.9,3170.8,3312.2,NaN,3496,3598.2,NaN,3864.7,4003.4,4149.4,NaN,4333.6,4438.3,NaN,4708.6,4865.4,5004.3,NaN,5195.2,5300.2,NaN,5581.3,5733.5,5884.1,NaN,6071.1,6192.8,NaN,6462.6,6615.4,6755.5,NaN,6950.3,7052,7269,7428.9,7564.1,NaN,7808.7,7966.1,8105.7,NaN,8300.4,8401.7,NaN,8677.5,8835.4,8980.7,9181.9,9328,9454.8,NaN,9710.1,9865.5,10001,NaN,10193,10320,NaN,10561,10717,10862,NaN,11053,11166,NaN,11438,11586,11750,11948,12099,12235,NaN,12490,12641,12794,NaN,12987,13116,13328,13496,13647,13791,NaN,13964,14125,14272,NaN,14458,14584,NaN,14877,15027,15177,15407,15582,15694,NaN,15986,16133,16292,16527,16687,16824,NaN,17078,17239,17389,NaN,17581,17696,NaN,17976,18126,18287
