n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,a,b,l
1988.3,3744.5,4753.6,9240.2,11414,11554,11703,11846,11988,12101,NaN,12291,12431,12635,NaN,12715,12895,NaN,13083,13227,13422,NaN,13511,13703,NaN,13892,14038,14249,NaN,14330,14518,NaN,14709,14855,15058,NaN,15153,15342,NaN,15535,15680,15896,NaN,15980,16190,16342,16492,16644,16746,NaN,16938,17082,17247,NaN,17390,17614,17793,17931,18083,18205,NaN,18404
2064.7,4018.1,4890.7,9362.5,11461,11611,11776,11922,12062,NaN,12246,12390,12511,NaN,12683,12782,NaN,13038,13178,13306,NaN,13483,13582,NaN,13845,13979,14121,NaN,14299,14398,NaN,14659,14804,14936,NaN,15122,15223,NaN,15487,15626,15764,NaN,15944,16068,16258,16418,16565,16717,NaN,16880,17032,17169,NaN,17355,17480,17680,17866,18013,18161,NaN,18353,18501
