n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e
1996.2,2217,2360.2,2508.7,2644.8,2791.5,2935.8,3074.6,3189.3,NaN,3372.3,3514.4,3724.9,NaN,3804.4,3983.8,NaN,4174.3,4319.5,4536.5,NaN,4618.4,4787.4,4938.9,5039.9,5227,NaN,5414.9,5566.4,5794.6,NaN,5875.8,6060.9,NaN,6254.2,6408.4,6631.4,NaN,6711.9,6901.7,NaN,7093,7241.7,7461.7,NaN,7546.8,7741.9,NaN,7937.3,8100.9,8282.4,8432.1,8535.9,8730.8,NaN,8928.5,9091.5,9315.7,NaN,9397.9,9621.8,NaN,9820.4,9972.8,10179,NaN,10281,10473,NaN,10670,10828,11059,NaN,11146,11353,NaN,11549,11712,11862,NaN,12017,12224,NaN,12418,12596,12823,NaN,12908,13102,NaN,13302,13464,13621,NaN,13772,13976,NaN,14173,14327,14550,NaN,14637,14842,14991,15099,15298,NaN,15490,15660,15964,16090,16203,16390,NaN,16586,16745
2041.9,2260.7,2412,2564.6,2716.8,2865.7,3013.4,3148.9,NaN,3316.5,3475.2,3596.3,NaN,3774.8,3878.8,NaN,4130.6,4273.9,4402.1,NaN,4587.3,4695.7,4866,5011.8,5115.3,NaN,5372.6,5516.5,5649.4,NaN,5844.4,5954.3,NaN,6208.3,6362.2,6491.1,NaN,6684.1,6787.3,NaN,7047.5,7198.8,7327.1,NaN,7512.2,7628.3,NaN,7890.3,8033.6,8187.3,8360.7,8502.8,8618.2,NaN,8880.6,9031.5,9173.5,NaN,9365.8,9479.5,NaN,9772.9,9927.4,10059,NaN,10246,10362,NaN,10626,10760,10912,NaN,11111,11227,NaN,11505,11656,11795,NaN,11982,12112,NaN,12374,12525,12679,NaN,12874,12983,NaN,13252,13401,13547,NaN,13737,13872,NaN,14129,14275,14414,NaN,14603,14719,14918,15067,15180,NaN,15447,15595,15744,16017,16166,16297,NaN,16541,16664,16831
