l,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e
3599.4,3690.7,3833.4,3995.9,4137.3,4280.3,4420.8,4567.6,4704.8,NaN,4891.3,5028.9,5235.6,NaN,5313.8,5493.1,NaN,5678.7,5823.2,6014.3,NaN,6116.4,6309.1,6454.5,6560.4,6737,NaN,6924.2,7069.3,7279.9,NaN,7362.1,7542.7,NaN,7734.1,7877.9,8046.4,8193.2,8297.3,8478.1,NaN,8667.4,8808.8,8998,9138.3,9245.4,9430.3,NaN,9619.9,9764.5,9975.6,NaN,10059,10240,NaN,10435,10579,10796,NaN,10876,11067,11215,11329,11508,NaN,11700,11852,12069,NaN,12148,12342,NaN,12531,12675,12899,NaN,12982,13165,13310,13421,13604,NaN,13794,13939,14267,14415,14528,14717,NaN,14911,15058
3648.1,3725.2,3888.1,4048.1,4201.1,4343.9,4492.2,4641.8,NaN,4846.3,4990.7,5111.6,NaN,5283.8,5387.2,NaN,5637.3,5779.2,5907.4,NaN,6083.3,6193.4,6386.2,6528.1,6636.3,NaN,6880.4,7024.2,7152.4,NaN,7330.8,7440.6,NaN,7687.7,7839.7,7962.2,8122.7,8266.6,8378.1,NaN,8623.9,8767.6,8897.4,9071.2,9211.6,9324.6,NaN,9573,9724.8,9844.2,NaN,10028,10137,NaN,10392,10536,10665,NaN,10845,10954,11147,11291,11407,NaN,11656,11800,11936,NaN,12121,12230,NaN,12487,12630,12763,NaN,12951,13065,13244,13386,13502,NaN,13752,13897,14024,14338,14491,14612,NaN,14867,15015,15143
