l,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l
4063.2,4244.8,4440.6,4835.2,4977.1,5132.4,5289.5,5447.2,5593.6,5744.4,5860.1,NaN,6043.9,6188.5,6402.8,NaN,6480.7,6662.3,NaN,6853.2,6997.8,7210.3,NaN,7290.2,7474.9,7628,7736.2,7906.8,NaN,8097.3,8246.8,8445,NaN,8538.3,8724.8,NaN,8909.3,9055.8,9249.6,9398,9499.9,9679.2,NaN,9873.1,10022,10238,NaN,10317,10495,NaN,10692,10844,11059,NaN,11138,11313,11464,11572,11754,NaN,11949,12095,12316,NaN,12395,12594,NaN,12788,12939,13128,13284,13389,13609,13764,13874,14059,NaN,14252,14414,14632,NaN,14716,14913,NaN,15110,15269,15493,NaN,15575,15787,15938,16048,16233,NaN,16430,16589,16825,NaN,16907,17108,NaN,17308,17471,17693,NaN,17775,17991,18148,18260,18538,18700,18858,19007,NaN,19208,19367,19587,NaN,19672,19896,20054,20182,20364,NaN,20561,20724,20891,21051,21167,21392,NaN,21594
4168.1,4382.6,4570.4,4871.3,5034.2,5203.2,5353.3,5524.4,5668.4,5817.3,NaN,5983.6,6138.6,6270.5,NaN,6450.8,6552.6,NaN,6806.8,6947.2,7079.9,NaN,7257.2,7362.8,7550.7,7701.7,7810.4,NaN,8048.5,8199.7,8329.1,NaN,8511.2,8609.3,NaN,8866.8,9007.8,9136.1,9328.8,9471.2,9573.1,NaN,9826.7,9970,10105,NaN,10289,10390,NaN,10644,10795,10928,NaN,11112,11213,11392,11536,11648,NaN,11903,12047,12179,NaN,12365,12466,NaN,12743,12886,13024,13209,13361,13465,13684,13839,13950,NaN,14203,14355,14496,NaN,14685,14790,NaN,15059,15217,15352,NaN,15543,15653,15862,16016,16127,NaN,16381,16527,16672,NaN,16877,16983,NaN,17259,17395,17552,NaN,17746,17857,18070,18221,18352,18600,18776,18939,NaN,19158,19305,19451,NaN,19640,19748,19971,20134,20273,NaN,20516,20663,20805,20970,21127,21265,NaN,21547,21682
